Suburb,Region,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Personal_Income_Weekly,Median_Family_Income_Weekly,Median_Mortgage_Monthly,Median_Age,Total_Population,Population_55_74,Total_Managers,Total_Employed
St Ives Chase,Upper North Shore,52.40378885052017,24.077800134138165,37.29040912139504,21.017362168748097,1025,3355,4223,42,3283,690,359,1491
South Coogee,Eastern Suburbs,51.163474121683386,23.817496860611133,35.496023440770195,22.135091783995723,958,3625,4000,42,5611,1242,569,2389
Bronte,Eastern Suburbs,50.96502859298808,22.353850115889777,44.99098635075972,18.504046888082613,1562,4501,3975,38,7166,1326,868,3883
Manly (NSW),Northern Beaches,50.918481911870806,24.82809690045488,42.124193377763675,19.434216985763378,1595,4266,3467,38,16296,3167,2347,9453
East Killara,Upper North Shore,50.222805117495724,20.793650793650794,40.3968253968254,24.421416234887737,905,3053,3900,43,2895,707,262,1260
Double Bay,Eastern Suburbs,50.12642895822049,24.072672218016656,44.96593489780469,21.55447016351667,1662,4250,3000,39,4709,1015,636,2642
Cremorne (NSW),Lower North Shore,49.825237158333636,24.124031007751938,42.23255813953488,21.211045014649738,1502,3708,3200,40,11263,2389,1556,6450
North Balgowlah,Northern Beaches,49.24906669514419,25.040214477211798,35.33512064343164,16.745283018867923,1254,4569,4005,39,3816,639,467,1865
North Turramurra,Upper North Shore,49.178134122228116,24.705882352941178,35.947712418300654,21.244635193133046,886,3089,3629,56,4194,891,378,1530
Elizabeth Bay,Inner City/Inner West,48.925534907553484,22.712628865979383,46.61726804123711,24.169741697416974,1676,4147,2582,43,4878,1179,705,3104
St Ives (NSW),Upper North Shore,48.78822582255044,23.38314405260012,38.24267782426779,22.06266318537859,1077,3306,3467,43,18384,4056,1956,8365
Turramurra,Upper North Shore,48.781149553337734,21.904149244129943,42.69861691862335,22.29571984435798,1144,3486,3484,43,12850,2865,1362,6218
Drummoyne,Inner West,48.58161986263523,23.389463927081724,37.88042638652866,22.312879860128216,1388,3506,3200,42,12011,2680,1514,6473
Avalon Beach,Northern Beaches,48.55345980305246,22.11712618233045,28.778426242704768,27.93139994219096,995,2891,3250,46,10379,2899,1099,4969
North Bondi,Eastern Suburbs,48.16223172097952,23.731490621915103,41.71767028627838,14.434876210979548,1493,4180,3966,35,9290,1341,1202,5065
Curl Curl,Northern Beaches,48.124476981880356,23.419773095623984,33.46839546191248,19.500846023688663,1260,4420,3775,40,2364,461,289,1234
Rose Bay (NSW),Eastern Suburbs,47.913662828590276,24.017295597484274,37.814465408805034,20.270406618908286,1398,3510,3250,40,9911,2009,1222,5088
West Pymble,Upper North Shore,47.889382049607065,23.328380386329865,37.92719167904903,20.933651902223858,1107,3908,3467,41,5441,1139,628,2692
North Coogee,Eastern Suburbs,47.76732493765562,21.040299906279287,29.28772258669166,30.072173215717722,1238,3265,2817,46,3741,1125,449,2134
Roseville,Upper North Shore,47.640232840825895,20.558725162305723,44.461931929962624,20.647969052224372,1203,3689,3651,40,10340,2135,1045,5083
West Pennant Hills,Hills District,47.56254970151266,20.287384315635656,38.34632245494398,27.707581227436823,1032,3264,3033,43,16620,4605,1666,8212
Waverton,Lower North Shore,47.53260106879164,20.761245674740483,48.44290657439446,21.804763502180478,1528,3842,3053,39,2981,650,360,1734
Lindfield,Upper North Shore,47.4706718312942,21.72670097198399,44.482561463693536,20.451430137987757,1174,3347,3450,40,10943,2238,1140,5247
Annandale (NSW),Inner City/Inner West,47.46686265643975,21.19585338763421,44.816734542761935,19.679561505217666,1442,3905,3467,38,9487,1867,1145,5402
