SA2_Code,Population,High_Value_Professionals,Managers,Professionals,Professional_Density_per_1000,Professional_Industry_Workers,Commercial_Density_Proxy,Median_Weekly_Income,Opportunity_Score,Demand_Gap_Index
208031188,24085,11155,3985,7170,463.13,1973,3444.3,925,42.78,37.66
206051128,15825,11153,4095,7058,704.73,1428,7002.9,1352,45.36,32.7
503011035,18936,11142,2880,8262,588.37,840,2075.5,920,45.62,45.39
207011150,16829,11127,3848,7279,661.14,1235,1097.8,1165,48.96,50.79
121031409,17221,11087,4001,7086,643.77,1225,1719.1,1188,48.07,48.13
213021344,18753,11052,4123,6929,589.31,2174,869.7,1240,48.64,48.89
206041118,15493,11036,3059,7977,712.28,1460,13776.1,1182,38.81,10.2
207011148,21123,11028,3922,7106,522.06,1267,426.6,852,45.75,47.84
208021176,18534,11016,3123,7893,594.34,1685,6093.2,1011,42.93,32.96
121011686,15888,11015,3709,7306,693.25,1474,6180.3,1361,45.73,34.93
207011152,15684,10957,3292,7665,698.57,1305,5998.8,1228,45.33,35.55
125041489,22878,10948,2772,8176,478.52,2154,11331.0,944,35.93,15.5
206051129,14818,10946,3729,7217,738.65,1592,9373.7,1363,43.81,25.11
128021536,22063,10945,4242,6703,496.06,2046,1076.4,1063,45.71,44.87
126021503,20102,10936,2940,7996,544.0,1690,8802.4,996,39.34,23.7
121031412,18191,10927,3790,7137,600.65,1134,2012.5,1108,46.39,45.45
203021042,24034,10871,3497,7374,452.3,1741,28.7,859,44.81,46.08
503021043,19102,10835,2946,7889,567.19,1317,5372.2,1055,42.59,34.17
121021406,19158,10824,3455,7369,564.96,1675,577.4,1003,46.92,48.34
206021499,15068,10801,2979,7822,716.77,1988,2698.5,1130,48.78,46.54
206051130,16192,10792,4396,6396,666.46,1572,6431.2,1372,44.75,33.14
212051326,22928,10754,3196,7558,469.01,1538,2549.8,841,42.53,39.41
117031647,16379,10722,3226,7496,654.58,1788,13962.5,1172,37.29,9.08
208031193,21199,10704,4045,6659,504.91,1815,1746.2,977,44.5,42.65
208021178,18075,10703,3610,7093,592.11,1271,1984.2,1044,45.82,44.72
128021538,23238,10641,3452,7189,457.89,2332,8544.5,1056,37.98,22.54
208011172,18200,10636,4386,6250,584.36,1267,1985.9,1033,45.52,44.31
121041417,12441,10604,3530,7074,852.27,1416,9287.4,1683,46.43,26.8
209021428,20711,10522,3091,7431,508.01,2296,3738.8,863,42.52,36.72
115011558,19082,10513,3422,7091,550.91,1549,123.0,940,46.27,48.34
503021039,16934,10505,3178,7327,620.31,1673,3497.8,1118,45.31,40.53
401031011,19066,10498,3203,7295,550.58,1488,1256.2,957,45.24,45.02
305011112,14953,10481,2698,7783,700.88,1429,9143.0,1128,41.67,24.68
116021628,21058,10477,3690,6787,497.51,2000,683.2,1147,45.61,44.8
206011106,12738,10449,2704,7745,820.24,2022,5512.0,1244,48.3,39.12
506071147,17226,10393,3185,7208,603.3,1281,3165.9,1131,44.78,40.8
126011721,18690,10361,2616,7745,554.33,1433,5148.5,919,41.47,33.61
121011684,19601,10355,3211,7144,528.26,1187,9417.9,912,36.93,20.93
206011496,12983,10300,2551,7749,793.28,1875,4501.0,1154,47.97,41.6
401021004,18208,10252,3425,6827,563.02,1626,66.7,993,46.39,48.22
206071143,12781,10213,2687,7526,799.01,1797,3753.5,1241,48.81,44.09
401071023,17650,10206,3056,7150,578.21,1684,3650.4,999,43.51,38.25
206031116,16224,10199,3328,6871,628.6,1894,4940.9,1113,43.93,35.77
120021389,13824,10184,3951,6233,736.64,1702,3352.6,1542,48.66,43.59
121011401,11903,10153,3352,6801,852.91,1351,7392.9,1607,47.14,32.83
117011635,21573,10143,3076,7067,470.15,2020,11344.4,994,34.58,14.64
118011649,14429,10109,3656,6453,700.55,1015,6445.2,1594,44.49,32.68
505021092,17552,10069,3152,6917,573.63,1434,2231.6,1232,44.97,41.89
125041491,20275,10047,2527,7520,495.51,1598,8307.6,1007,37.4,23.03
507021165,16720,10018,2896,7122,599.13,1367,3303.9,1059,43.86,39.43
121041689,14565,9985,3683,6302,685.5,1207,5268.5,1510,45.0,35.77
206041506,15637,9975,2230,7745,637.87,1578,9030.9,953,39.35,23.35
208011173,17358,9960,4167,5793,573.77,1214,2321.4,1082,44.07,41.38
206061515,11192,9930,2885,7045,887.16,1275,10915.8,1412,43.66,20.81
206071518,13867,9923,2955,6968,715.53,1404,8306.6,1183,42.0,26.85
213031352,15463,9915,3461,6454,641.17,2054,1254.3,1247,47.62,46.53
207011155,15944,9899,3541,6358,620.82,1052,1088.9,1088,45.87,46.3
505021088,18468,9856,2889,6967,533.65,1417,513.1,1126,45.03,44.86
212051319,19507,9833,3047,6786,504.05,1245,2993.5,871,41.28,37.13
304041103,17099,9694,3000,6694,566.9,1712,79.1,1036,45.83,46.79
211031267,21132,9660,3009,6651,457.11,1826,223.2,879,42.99,42.42
125041589,21568,9587,2052,7535,444.48,1537,7648.2,926,35.95,23.12
206051514,13858,9497,3160,6337,685.26,1376,10195.9,1236,39.21,20.02
212051321,21603,9472,2959,6513,438.44,1293,241.5,701,41.37,41.21
117031642,13670,9467,2632,6835,692.49,1718,7952.5,1178,41.51,26.86
126021498,15456,9425,3648,5777,609.76,1412,4683.0,1198,42.41,34.51
403031069,16506,9399,2962,6437,569.39,1368,1639.8,986,43.57,41.78
403011057,20522,9382,3534,5848,457.15,1747,3855.1,925,39.42,32.57
208011170,16540,9358,3887,5471,565.75,1092,411.0,1064,44.52,44.91
122031430,17550,9329,3805,5524,531.54,1383,3245.9,1112,41.68,36.12
120031396,20822,9327,2177,7150,447.92,1602,11960.7,911,31.78,12.11
212051322,21036,9320,2825,6495,443.03,1107,2354.1,713,39.25,35.75
117031329,10615,9305,2979,6326,876.51,1327,7854.3,1535,45.7,30.43
209011197,20807,9295,3163,6132,446.7,2063,303.8,907,42.41,40.86
203021040,21200,9292,3012,6280,438.28,1881,1864.5,918,40.74,36.73
128021535,20927,9291,3702,5589,443.95,1774,260.7,989,42.42,40.86
121011685,12928,9260,3118,6142,716.22,1028,2532.7,1489,46.67,43.45
305041135,12197,9236,2572,6664,757.17,1323,3688.6,1248,46.03,41.04
115041625,17581,9225,3577,5648,524.68,1592,492.1,1059,43.85,42.91
206011495,12890,9215,2284,6931,714.84,1753,3168.8,1032,45.46,41.38
115041624,17401,9173,3388,5785,527.12,1394,1313.2,1212,43.39,40.71
212051324,19265,9168,2886,6282,475.86,1174,2416.8,820,39.98,36.24
209011198,16039,9145,2632,6513,570.14,1525,2347.3,1030,42.86,39.25
126021724,20291,9137,3051,6086,450.28,1500,5611.1,880,37.02,27.55
117031648,12622,9125,2725,6400,722.89,1305,10564.4,1262,39.08,19.03
401031013,16635,9102,2577,6525,547.13,1192,1806.7,977,42.34,39.88
206041505,15648,9073,2151,6922,579.78,1271,15390.9,861,30.57,3.96
401011001,18202,9052,2369,6683,497.28,1584,10252.7,726,33.31,16.74
115011621,17709,9025,3301,5724,509.6,1350,135.1,995,43.15,42.77
213031348,17131,9013,2434,6579,526.09,2048,7173.3,916,37.58,25.08
207031164,18126,9012,2680,6332,497.16,1237,724.7,788,41.63,40.8
122031696,17175,9006,3707,5299,524.34,1357,205.1,1041,43.51,43.06
213021346,15912,9000,3526,5474,565.58,1635,1492.3,1089,43.6,41.05
404011093,19076,8980,2583,6397,470.72,2175,1883.0,818,40.86,36.95
214021381,18734,8961,3910,5051,478.3,1073,448.0,966,41.83,40.71
206031113,15191,8937,2942,5995,588.27,1699,3421.8,1080,42.29,36.4
206011107,14318,8923,2372,6551,623.16,1621,5020.5,1002,41.25,32.92
206041117,16655,8918,1708,7210,535.42,1387,11103.8,652,32.73,14.92
126021501,15622,8913,2648,6265,570.51,1303,2836.0,1054,41.94,37.41
124011450,18993,8898,2939,5959,468.46,2109,60.9,971,42.73,41.14
121041688,13763,8820,3336,5484,640.8,971,5354.3,1464,41.87,32.23
126011720,14404,8794,2146,6648,610.48,1156,3948.7,1025,41.33,35.28
305041132,13716,8792,2703,6089,640.96,1351,1757.8,1153,44.49,42.24
507041181,17452,8769,3117,5652,502.44,1147,356.0,995,42.24,41.26
305011109,12454,8725,2639,6086,700.52,1149,7839.5,1220,40.14,26.26
209011203,18733,8717,2735,5982,465.3,2557,68.0,900,42.54,40.52
120031395,13520,8717,2624,6093,644.7,1642,3774.1,1190,43.11,36.54
213051466,19091,8713,2673,6040,456.37,1412,35.0,1070,41.97,40.27
211041270,16795,8709,2575,6134,518.52,1574,550.2,911,42.43,41.17
305021117,14308,8647,2829,5818,604.3,1473,2613.1,1194,43.03,38.4
207011147,16163,8639,2909,5730,534.46,858,1570.6,873,40.95,38.93
126021723,18974,8625,2427,6198,454.55,1255,3494.9,762,37.65,31.74
506021119,17245,8593,2398,6195,498.26,1506,1523.9,1014,41.23,37.76
207011520,11957,8571,2375,6196,716.76,1095,6531.6,1207,41.29,30.17
206061138,12953,8536,3168,5368,658.95,740,4756.5,1428,41.94,33.8
505021096,15044,8514,2735,5779,565.9,950,1086.4,990,42.25,40.9
117031641,12658,8501,3143,5358,671.54,1181,9440.7,1297,38.08,20.87
506021123,15816,8447,2503,5944,534.05,1363,3810.0,1057,39.7,32.81
128011529,18156,8445,3434,5011,465.11,1543,1820.8,1046,40.19,35.61
122031695,17816,8435,3127,5308,473.42,1329,11821.7,1055,31.29,12.0
121011683,13440,8398,3179,5219,624.8,762,792.8,1355,44.4,43.36
208021426,16583,8396,2986,5410,506.27,1146,1666.7,919,40.35,37.18
303011051,16504,8393,2787,5606,508.51,1226,317.8,910,41.63,40.55
111031228,14506,8378,2524,5854,577.51,1165,2008.3,1091,41.98,38.54
117031643,12290,8366,2847,5519,680.66,1372,7393.1,1275,40.06,26.61
118021570,12735,8325,2391,5934,653.66,1287,6148.1,1259,40.4,29.42
302021031,14432,8306,2571,5735,575.49,1544,3456.6,1134,41.08,34.56
506071145,14575,8304,2219,6085,569.7,1040,1701.7,1010,41.61,38.9
401061021,15785,8283,2613,5670,524.71,1724,1696.6,962,41.21,37.42
206051512,11693,8276,2857,5419,707.71,1200,6212.9,1310,41.41,30.38
117021637,14283,8270,2326,5944,578.97,1898,5878.0,1003,38.92,28.33
207011522,13039,8224,2624,5600,630.67,896,2690.4,1133,42.02,38.01
206031501,16042,8204,3058,5146,511.38,1621,3081.1,1019,39.66,33.43
503021038,11872,8184,2337,5847,689.3,1167,951.7,1280,45.46,44.54
111031229,12805,8174,2250,5924,638.29,1375,7090.3,1149,38.8,26.27
210031538,17214,8172,2615,5557,474.7,1765,402.2,971,41.21,38.57
206051513,11857,8163,2571,5592,688.4,1400,9778.4,1220,37.67,19.78
305041137,12428,8138,1836,6302,654.76,1155,6626.2,972,38.68,27.82
206071142,10431,8081,2180,5901,774.64,1297,5078.8,1265,43.49,34.91
403031068,15842,8061,2571,5490,508.81,1559,1635.7,910,40.28,36.5
211031265,18059,8050,3054,4996,445.74,1563,17.2,913,40.41,38.1
101021611,16539,8037,3873,4164,485.91,4724,43.5,1243,45.14,39.44
507041178,15476,8035,2560,5475,519.16,922,739.2,954,40.77,38.94
505021097,17066,7959,2485,5474,466.34,1378,2528.8,931,38.36,32.83
206041121,10745,7942,2239,5703,739.07,1414,2547.7,1246,44.93,41.01
111031225,17343,7915,2186,5729,456.35,1338,987.7,907,39.35,35.91
117021636,12317,7901,2408,5493,641.42,1596,3622.2,1160,41.86,35.11
209011200,12458,7861,2380,5481,630.95,1091,2007.0,1080,42.16,38.97
212051323,16073,7851,2478,5373,488.43,1056,2014.6,797,38.39,34.44
209011202,16539,7841,2751,5090,474.06,1507,149.8,957,40.65,38.23
208021179,11904,7815,2557,5258,656.45,1038,3862.1,1193,41.23,34.7
303031063,15873,7803,2272,5531,491.56,1451,2270.7,948,38.99,33.83
121011687,12996,7798,2848,4950,599.98,907,2225.9,1160,41.28,37.28
304031094,13430,7793,1884,5909,580.22,1000,4284.0,922,38.43,31.5
120011673,11453,7789,2017,5772,680.02,850,8659.7,1119,36.91,22.26
401051019,13515,7781,2160,5621,575.69,1279,1599.5,954,41.12,38.05
206021500,10299,7772,2165,5607,754.56,1393,1768.4,1216,45.58,43.32
206061516,9939,7765,2319,5446,781.19,922,6018.9,1329,41.96,31.71
208011168,14021,7753,3434,4319,552.92,932,441.9,1043,41.55,40.07
303011047,12145,7738,2631,5107,637.08,1259,395.2,1298,44.42,43.08
206071145,9855,7723,2227,5496,783.58,1154,2080.0,1340,45.84,43.22
305011110,14243,7718,1967,5751,541.84,1206,10299.7,888,32.32,15.81
211021261,16275,7702,2968,4734,473.21,918,203.7,826,39.43,37.7
111031222,16600,7689,2224,5465,463.16,1540,804.7,937,39.59,35.96
208021182,13128,7681,2235,5446,585.04,1227,3706.7,1013,39.41,32.84
206071139,9088,7666,2205,5461,843.44,1263,5179.5,1354,44.44,35.52
107041548,16020,7660,2212,5448,478.12,1387,12002.0,892,29.61,11.0
125041717,12062,7655,1364,6291,634.59,985,9156.4,1119,35.55,20.0
116021309,15829,7651,2500,5151,483.32,1397,6.3,984,40.67,38.37
206071141,9179,7643,2043,5600,832.57,1149,5774.7,1338,43.41,33.41
207021159,16966,7643,3006,4637,450.46,871,351.4,781,38.58,36.41
503021297,12119,7626,2048,5578,629.21,940,9863.0,1176,34.89,18.05
206041504,16870,7608,1556,6052,450.95,849,16851.1,638,23.39,0.0
118011650,9958,7545,2695,4850,757.61,882,6514.9,1690,41.78,29.37
505011072,15982,7530,2490,5040,471.13,1170,177.1,951,39.77,37.22
206011498,14031,7511,2212,5299,535.28,1569,501.9,905,41.04,38.66
115011296,12683,7474,2624,4850,589.25,912,191.1,1038,42.02,41.2
503021296,11414,7458,1980,5478,653.35,1159,5637.8,1156,39.11,29.23
507021166,15372,7448,2112,5336,484.49,1050,640.1,874,39.15,36.42
503021295,11798,7428,2185,5243,629.54,927,9197.3,1175,35.17,19.53
305011105,13310,7420,2252,5168,557.43,1307,10059.5,915,32.6,16.28
507041177,14778,7413,2462,4951,501.59,1065,574.7,994,39.88,37.07
122021422,13681,7372,3100,4272,538.81,926,1753.0,1115,39.74,35.47
207011521,11601,7354,2330,5024,633.86,769,1417.3,1104,41.65,39.33
118011346,11924,7305,3088,4217,612.58,787,3193.5,1450,40.66,34.08
303021052,11935,7280,1533,5747,609.92,1281,3988.0,960,38.99,31.97
206031502,12191,7261,2365,4896,595.55,1359,3686.1,1111,39.5,32.28
126021725,11972,7252,2175,5077,605.7,891,6797.6,1143,36.43,24.85
305041134,10343,7167,2312,4855,692.87,980,629.6,1334,44.23,42.87
504011046,13294,7151,1970,5181,537.87,1370,4226.8,1050,37.49,29.18
206011497,12535,7090,1882,5208,565.57,1535,1447.2,880,40.13,36.35
120021674,9464,7089,2274,4815,748.97,1150,2051.0,1441,44.58,40.68
118011344,11122,7042,2684,4358,633.1,651,3816.7,1319,39.52,32.53
302031040,13305,6942,2052,4890,521.72,1507,7196.9,1058,34.39,21.65
207011519,9890,6893,2069,4824,696.9,897,3673.3,1215,40.71,34.34
208021427,14057,6887,2620,4267,489.9,991,1376.7,934,37.88,33.53
122031693,13980,6885,2890,3995,492.45,1046,3102.1,1066,36.86,29.86
122031427,13161,6859,2666,4193,521.12,871,354.9,975,39.36,36.75
404011092,15634,6846,2648,4198,437.86,1348,1908.9,886,36.5,30.62
403031067,12963,6834,2038,4796,527.15,1338,461.3,954,39.83,36.66
213031349,12573,6739,2306,4433,535.95,1230,3197.6,980,37.39,30.58
206061135,9336,6733,2192,4541,721.11,736,4485.9,1361,40.43,32.54
303041071,10944,6729,1967,4762,614.8,1022,140.7,1167,42.01,40.19
507041175,11725,6726,2261,4465,573.6,701,911.4,1110,39.9,36.94
209021429,12696,6725,1918,4807,529.65,1425,876.2,902,39.31,35.53
208011171,12439,6723,2680,4043,540.43,999,1047.7,1025,39.23,35.51
208031190,13197,6701,2508,4193,507.73,1205,1899.3,981,37.89,32.5
102011039,14849,6672,2427,4245,449.29,1051,1803.2,933,36.42,30.78
208031189,13563,6666,2451,4215,491.45,1201,2157.4,1022,37.39,31.35
101021012,12744,6661,3125,3536,522.64,4846,183.5,1357,45.18,36.65
305031131,11025,6649,1858,4791,603.03,1142,4887.3,1105,37.41,28.32
119031666,14715,6626,2202,4424,450.26,1244,2940.5,935,35.56,28.37
304021088,10731,6612,1930,4682,616.1,823,14.7,1084,41.45,40.22
118021565,13605,6583,1726,4857,483.83,1006,4966.0,844,33.85,25.0
506031129,14518,6552,1858,4694,451.27,864,189.0,791,37.08,33.82
206071140,8186,6529,1560,4969,797.48,1120,1516.9,1197,44.48,42.32
303021055,10524,6494,1643,4851,617.01,1108,4538.0,1072,37.64,29.2
122021420,13052,6487,2792,3695,496.97,734,924.9,1058,37.91,33.7
101061542,12713,6439,3443,2996,506.45,2889,14.5,1129,41.64,35.83
505021093,14620,6438,2107,4331,440.33,1013,1058.4,889,36.38,31.39
115011555,12189,6433,2449,3984,527.73,815,441.7,929,38.56,35.65
207031167,10166,6413,1879,4534,630.77,768,801.6,1071,40.62,38.32
118021564,11809,6399,1755,4644,541.83,910,5820.0,946,34.18,24.23
120011672,12842,6391,2060,4331,497.63,1297,2927.7,1011,36.52,29.26
107041148,11957,6366,1968,4398,532.36,1232,588.4,1014,39.22,35.31
117031638,8332,6363,1574,4789,763.59,1033,2388.2,1023,42.09,38.48
503021040,9707,6360,1837,4523,655.13,901,1158.0,1149,41.15,38.14
115011622,11375,6329,2317,4012,556.35,894,1085.0,1143,39.17,34.94
314011387,12385,6320,2493,3827,510.25,1126,78.2,978,38.91,35.5
305011108,9761,6310,1977,4333,646.38,859,7551.4,1170,35.22,22.35
209031215,14417,6307,2460,3847,437.44,1344,8.4,961,37.63,33.02
121021579,11877,6299,1688,4611,530.31,863,5271.6,980,34.33,24.96
119041671,10731,6291,1605,4686,586.19,902,8311.1,1069,33.06,19.41
309011227,13997,6245,2355,3890,446.14,788,8784.3,950,29.27,15.88
213031350,9247,6243,2014,4229,675.06,1307,1339.8,1240,42.18,38.06
117031644,8004,6241,2259,3982,779.64,678,6658.3,1509,39.27,27.26
801061131,6579,6222,2235,3987,945.59,4269,5253.5,1777,52.89,35.06
601051031,12326,6221,1926,4295,504.66,1146,1534.3,887,37.1,31.99
305031122,10754,6208,1870,4338,577.22,1007,4453.0,1099,36.44,27.78
801051051,6383,6205,1941,4264,971.96,4061,4990.3,1512,52.56,36.49
207021160,14191,6204,2167,4037,437.15,882,81.3,753,36.28,32.58
505021095,12820,6199,1638,4561,483.5,1121,1364.3,991,37.07,31.6
119031371,12594,6195,2002,4193,491.86,988,1270.4,974,37.11,32.05
401051017,10849,6119,1748,4371,563.96,942,2042.5,933,37.58,32.54
303021059,10200,6103,1639,4464,598.27,1029,2464.7,1083,38.47,32.62
503011034,10764,6095,2055,4040,566.19,568,1766.8,1079,37.76,33.16
121011682,9406,6084,1625,4459,646.75,826,4537.1,1201,37.62,29.15
213031351,11735,6064,1911,4153,516.7,1383,1854.3,1003,37.51,31.32
120031392,11999,6058,1933,4125,504.83,1249,3636.5,921,35.23,27.25
120031677,12246,6052,1563,4489,494.16,1140,5337.5,872,33.2,23.47
128011603,13015,6050,2776,3274,464.81,953,47.6,1044,37.61,33.21
503011036,9612,6042,1969,4073,628.52,769,395.6,1178,40.72,38.21
206021110,8994,6042,1724,4318,671.71,1118,1811.6,1098,40.67,36.3
213021341,13556,6024,2203,3821,444.35,1384,799.7,945,36.67,30.96
303011049,11826,5934,1835,4099,501.73,1085,866.6,1021,37.56,32.54
121021404,11790,5850,2121,3729,496.14,1040,98.6,967,37.78,33.67
117011321,12960,5848,2410,3438,451.2,1549,4248.0,1153,34.33,24.13
111031224,12772,5802,1641,4161,454.24,997,2088.2,877,34.75,28.24
304031096,12220,5799,1140,4659,474.51,582,4349.5,548,31.62,24.45
116021633,13034,5799,1901,3898,444.88,912,0.0,1035,36.8,31.9
120031676,11456,5796,1407,4389,505.89,1188,6553.0,914,32.2,20.82
401031012,10328,5780,1826,3954,559.59,704,289.8,984,38.38,35.32
305011106,9512,5778,1780,3998,607.38,1065,9548.0,1059,31.88,16.31
211041271,12413,5775,1667,4108,465.2,966,242.2,839,36.43,32.09
303031064,11020,5771,1851,3920,523.64,599,34.4,985,37.74,34.56
121021577,11943,5717,1332,4385,478.65,815,7528.0,893,30.1,18.19
303041068,10825,5704,1491,4213,526.88,1280,2004.1,974,36.87,30.45
206041503,9848,5662,1533,4129,574.88,832,8778.7,884,30.84,17.32
201011002,12131,5642,1718,3924,465.05,964,584.4,842,35.93,31.07
503011033,8621,5637,1823,3814,653.79,521,347.2,1215,40.36,38.11
304031097,9020,5597,1182,4415,620.44,729,4494.7,979,35.59,27.58
118011347,7454,5593,1824,3769,750.23,620,2655.4,1635,41.6,35.58
126021499,9844,5580,2298,3282,566.79,518,1006.2,1244,38.1,33.52
302021034,10344,5577,2032,3545,539.1,1023,357.7,1154,38.61,33.91
302011023,10501,5577,1864,3713,531.04,898,32.9,1081,38.32,34.29
506071146,11653,5563,1597,3966,477.35,674,143.5,805,35.97,32.13
505011075,11200,5526,2179,3347,493.35,812,126.1,983,36.98,32.63
208021181,9369,5515,1741,3774,588.58,837,1789.4,1023,37.56,32.4
203021046,10445,5457,1848,3609,522.4,714,178.4,1001,37.33,33.36
115011556,10419,5445,1818,3627,522.55,661,1417.5,978,36.07,30.86
121021578,10629,5420,1500,3920,509.88,856,1357.7,884,35.82,30.5
118021567,11084,5418,1906,3512,488.77,975,4799.7,968,32.75,23.18
304021090,9438,5415,1585,3830,573.68,824,40.6,1032,38.69,35.35
305031126,10165,5414,1209,4205,532.56,780,4246.2,784,33.28,25.41
117021328,8278,5408,1840,3568,653.22,1158,1279.6,1234,40.42,35.35
122021421,11243,5407,2433,2974,480.88,668,572.5,1006,36.04,31.01
206011109,10390,5382,1851,3531,517.95,1055,566.1,954,37.14,32.23
118021566,9790,5328,1895,3433,544.17,837,2448.7,1116,36.1,29.18
503011031,9248,5323,1615,3708,575.52,482,2362.5,1115,36.22,30.31
304041104,11681,5287,1764,3523,452.58,2077,383.6,1063,37.48,30.06
125021711,11622,5284,1574,3710,454.62,714,1428.7,789,33.96,28.21
503011032,7750,5200,1600,3600,670.88,392,990.5,1458,39.97,36.06
206041510,7446,5185,1326,3859,696.25,809,5161.8,1047,36.31,27.18
122021691,10874,5184,2220,2964,476.69,846,1106.8,1072,35.6,29.28
305031130,7978,5175,1362,3813,648.58,904,2998.8,1138,37.71,30.78
206031115,9065,5174,1352,3822,570.7,967,4727.1,927,34.03,24.94
507041180,10883,5158,1498,3660,473.91,791,16.8,907,35.89,31.13
505011079,11493,5143,1802,3341,447.45,870,18.9,916,35.47,30.14
304011084,9716,5143,1599,3544,529.28,890,155.6,968,37.21,32.79
115041623,10287,5122,1782,3340,497.86,814,28.0,1274,37.48,31.87
120031681,9253,5120,1642,3478,553.27,508,851.7,961,36.4,32.18
211021262,10112,5104,2256,2848,504.7,630,14.1,930,36.27,32.09
111031235,9171,5094,1472,3622,555.39,1014,1183.1,996,37.05,31.52
304021086,10528,5080,1619,3461,482.48,915,6.3,935,36.23,31.24
