SA2_Code,Population,High_Value_Professionals,Professional_Density_per_1000,Professional_Industry_Workers,Professional_Industry_Concentration,Commercial_Density_Proxy,Median_Weekly_Income,Opportunity_Score,Demand_Gap_Index,Is_Established_Cluster,Is_Emerging_Cluster
401051019,13515,7781,575.69,1279,94.63,1599.5,954,41.12,38.05,True,False
302021031,14432,8306,575.49,1544,106.98,3456.6,1134,41.08,34.56,True,False
206011498,14031,7511,535.28,1569,111.82,501.9,905,41.04,38.66,True,False
207011147,16163,8639,534.46,858,53.08,1570.6,873,40.95,38.93,True,False
801071082,15670,6605,421.48,4499,287.09,225.4,1070,40.94,32.84,False,False
404011093,19076,8980,470.72,2175,114.01,1883.0,818,40.86,36.95,True,False
127031524,21129,8113,383.96,3585,169.66,242.9,1027,40.83,35.59,False,False
801091100,5569,3421,614.18,1978,355.12,433.3,1341,40.8,30.57,False,False
801051057,5703,3746,656.73,2133,373.95,1729.7,1200,40.79,30.33,False,False
507041178,15476,8035,519.16,922,59.57,739.2,954,40.77,38.94,True,False
203021040,21200,9292,438.28,1881,88.72,1864.5,918,40.74,36.73,True,False
503011036,9612,6042,628.52,769,80.0,395.6,1178,40.72,38.21,True,False
207011519,9890,6893,696.9,897,90.69,3673.3,1215,40.71,34.34,True,False
116021309,15829,7651,483.32,1397,88.25,6.3,984,40.67,38.37,True,False
206021110,8994,6042,671.71,1118,124.29,1811.6,1098,40.67,36.3,True,False
118011346,11924,7305,612.58,787,66.0,3193.5,1450,40.66,34.08,True,False
209011202,16539,7841,474.06,1507,91.11,149.8,957,40.65,38.23,True,False
207031167,10166,6413,630.77,768,75.54,801.6,1071,40.62,38.32,True,False
801051050,5376,3346,622.28,1907,354.66,338.8,1236,40.57,30.83,False,False
310041304,23526,8622,366.47,2653,112.76,163.8,1014,40.52,36.53,False,False
801041037,4800,2880,599.88,1905,396.79,402.5,1395,40.47,28.67,False,False
206061135,9336,6733,721.11,736,78.83,4485.9,1361,40.43,32.54,True,False
117021328,8278,5408,653.22,1158,139.87,1279.6,1234,40.42,35.35,True,False
211031265,18059,8050,445.74,1563,86.54,17.2,913,40.41,38.1,True,False
118021570,12735,8325,653.66,1287,101.05,6148.1,1259,40.4,29.42,True,False
503011033,8621,5637,653.79,521,60.43,347.2,1215,40.36,38.11,True,False
208021426,16583,8396,506.27,1146,69.1,1666.7,919,40.35,37.18,True,False
403031068,15842,8061,508.81,1559,98.4,1635.7,910,40.28,36.5,True,False
801101135,4851,3054,629.43,1739,358.41,805.0,1358,40.23,29.43,False,False
128011529,18156,8445,465.11,1543,84.98,1820.8,1046,40.19,35.61,True,False
111011208,25254,9444,373.95,1775,70.28,995.4,867,40.17,37.1,False,False
801061067,6455,3786,586.43,2240,346.96,821.1,1250,40.16,29.87,False,False
305011109,12454,8725,700.52,1149,92.25,7839.5,1220,40.14,26.26,True,False
206011497,12535,7090,565.57,1535,122.45,1447.2,880,40.13,36.35,True,False
117031643,12290,8366,680.66,1372,111.63,7393.1,1275,40.06,26.61,True,False
212051324,19265,9168,475.86,1174,60.94,2416.8,820,39.98,36.24,True,False
503011032,7750,5200,670.88,392,50.57,990.5,1458,39.97,36.06,True,False
801041047,6680,3650,546.33,2318,346.95,0.0,1251,39.95,29.59,False,False
507041175,11725,6726,573.6,701,59.78,911.4,1110,39.9,36.94,True,False
213051464,19274,8119,421.22,1373,71.23,149.8,963,39.89,37.12,False,False
507041177,14778,7413,501.59,1065,72.06,574.7,994,39.88,37.07,True,False
305021118,6857,4731,689.85,665,96.97,942.2,1319,39.85,35.59,False,False
403031067,12963,6834,527.15,1338,103.21,461.3,954,39.83,36.66,True,False
212021293,22963,8736,380.42,1544,67.24,19.1,820,39.8,37.66,False,False
505011072,15982,7530,471.13,1170,73.2,177.1,951,39.77,37.22,True,False
122021422,13681,7372,538.81,926,67.68,1753.0,1115,39.74,35.47,True,False
506021123,15816,8447,534.05,1363,86.17,3810.0,1057,39.7,32.81,True,False
206031501,16042,8204,511.38,1621,101.04,3081.1,1019,39.66,33.43,True,False
801051056,3227,2107,652.73,1163,360.29,206.5,1361,39.65,28.77,False,False
111031222,16600,7689,463.16,1540,92.77,804.7,937,39.59,35.96,True,False
404031107,26480,10171,384.09,2244,84.74,3211.4,794,39.58,33.83,False,False
118011344,11122,7042,633.1,651,58.53,3816.7,1319,39.52,32.53,True,False
206031502,12191,7261,595.55,1359,111.47,3686.1,1111,39.5,32.28,True,False
801041036,6471,3381,522.4,2314,357.54,67.9,1349,39.48,27.88,False,False
207021157,24814,10744,432.96,1318,53.11,4599.0,721,39.46,32.81,False,False
211021261,16275,7702,473.21,918,56.4,203.7,826,39.43,37.7,True,False
403011057,20522,9382,457.15,1747,85.12,3855.1,925,39.42,32.57,True,False
208021182,13128,7681,585.04,1227,93.46,3706.7,1013,39.41,32.84,True,False
801051053,4835,3443,711.95,1757,363.32,3268.3,1076,39.36,28.16,False,False
122031427,13161,6859,521.12,871,66.18,354.9,975,39.36,36.75,True,False
314011383,19643,7607,387.24,2309,117.54,39.9,1003,39.36,34.75,False,False
111031225,17343,7915,456.35,1338,77.14,987.7,907,39.35,35.91,True,False
206041506,15637,9975,637.87,1578,100.91,9030.9,953,39.35,23.35,True,False
126021503,20102,10936,544.0,1690,84.07,8802.4,996,39.34,23.7,True,False
209021429,12696,6725,529.65,1425,112.23,876.2,902,39.31,35.53,True,False
304031092,7849,4959,631.72,611,77.83,193.9,1231,39.3,35.83,False,False
212011546,23632,8433,356.83,1696,71.76,62.5,943,39.28,35.89,False,False
117031644,8004,6241,779.64,678,84.7,6658.3,1509,39.27,27.26,True,False
212051322,21036,9320,443.03,1107,52.62,2354.1,713,39.25,35.75,True,False
801041046,10957,4902,447.34,3356,306.26,0.0,1124,39.24,29.51,False,False
208011171,12439,6723,540.43,999,80.31,1047.7,1025,39.23,35.51,True,False
107041148,11957,6366,532.36,1232,103.03,588.4,1014,39.22,35.31,True,False
206051514,13858,9497,685.26,1376,99.29,10195.9,1236,39.21,20.02,True,False
206041509,16101,11924,740.53,1705,105.89,15689.3,1152,39.17,4.09,True,False
115011622,11375,6329,556.35,894,78.59,1085.0,1143,39.17,34.94,True,False
507021166,15372,7448,484.49,1050,68.3,640.1,874,39.15,36.42,True,False
203031490,19394,7895,407.06,1541,79.45,53.9,850,39.13,36.22,False,False
503021296,11414,7458,653.35,1159,101.53,5637.8,1156,39.11,29.23,True,False
117031648,12622,9125,722.89,1305,103.38,10564.4,1262,39.08,19.03,True,False
801011003,7520,4376,581.84,2337,310.73,1659.7,1027,39.06,29.62,False,False
303031063,15873,7803,491.56,1451,91.41,2270.7,948,38.99,33.83,True,False
303021052,11935,7280,609.92,1281,107.32,3988.0,960,38.99,31.97,True,False
117021637,14283,8270,578.97,1898,132.88,5878.0,1003,38.92,28.33,True,False
305021114,7407,4947,667.79,609,82.21,1995.0,1402,38.91,33.07,False,False
314011387,12385,6320,510.25,1126,90.91,78.2,978,38.91,35.5,True,False
214011373,18801,7822,416.02,1289,68.56,205.5,862,38.9,36.01,False,False
801061062,3124,2033,650.56,869,278.08,285.6,1577,38.83,28.36,False,False
206041118,15493,11036,712.28,1460,94.23,13776.1,1182,38.81,10.2,True,False
206041125,6423,4966,773.04,601,93.56,4636.8,1454,38.8,29.95,False,False
111031229,12805,8174,638.29,1375,107.37,7090.3,1149,38.8,26.27,True,False
107041146,22773,8777,385.4,1779,78.12,1273.6,746,38.77,35.12,False,False
214021382,19846,7931,399.61,1144,57.64,22.4,846,38.73,36.12,False,False
801061069,3146,2053,652.37,896,284.72,256.2,1469,38.69,28.53,False,False
304021090,9438,5415,573.68,824,87.3,40.6,1032,38.69,35.35,True,False
305041137,12428,8138,654.76,1155,92.93,6626.2,972,38.68,27.82,True,False
506041133,24415,8468,346.82,1544,63.24,133.4,837,38.64,35.48,False,False
125021477,24641,9330,378.62,2105,85.42,2663.2,803,38.62,33.07,False,False
302021034,10344,5577,539.1,1023,98.89,357.7,1154,38.61,33.91,True,False
506031131,19262,8046,417.69,1277,66.29,601.3,755,38.59,35.8,False,False
314011382,16410,6984,425.57,1715,104.5,132.3,954,38.58,34.21,False,False
207021159,16966,7643,450.46,871,51.33,351.4,781,38.58,36.41,True,False
115011555,12189,6433,527.73,815,66.86,441.7,929,38.56,35.65,True,False
801071076,3006,1771,588.96,1136,377.79,16.1,1415,38.56,25.9,False,False
212051327,20652,8504,411.76,1059,51.28,1012.9,720,38.53,35.89,False,False
128011604,24374,11655,478.15,2210,90.67,10313.6,1124,38.5,19.11,True,False
801041039,7484,4082,545.36,2505,334.67,1755.6,1121,38.5,27.54,False,False
303021059,10200,6103,598.27,1029,100.87,2464.7,1083,38.47,32.62,True,False
801051127,1544,1041,673.79,613,396.76,548.1,1335,38.43,26.06,False,False
304031094,13430,7793,580.22,1000,74.45,4284.0,922,38.43,31.5,True,False
209011201,7740,4935,637.51,564,72.86,937.3,1167,38.43,34.37,False,False
305041136,5975,4163,696.62,692,115.8,1269.1,1122,38.43,33.63,False,False
212051323,16073,7851,488.43,1056,65.7,2014.6,797,38.39,34.44,True,False
401031012,10328,5780,559.59,704,68.16,289.8,984,38.38,35.32,True,False
505021097,17066,7959,466.34,1378,80.74,2528.8,931,38.36,32.83,True,False
302011023,10501,5577,531.04,898,85.51,32.9,1081,38.32,34.29,True,False
303051073,22845,8263,361.68,1229,53.79,24.5,769,38.31,35.67,False,False
801011005,2965,1855,625.42,1001,337.49,70.7,1288,38.29,27.34,False,False
304041098,9042,4801,530.91,2496,276.01,2173.5,1131,38.19,28.06,False,False
119021662,17969,7728,430.05,1439,80.08,1234.8,836,38.17,34.0,False,False
801031115,296,189,636.36,154,518.52,0.0,1161,38.17,23.25,False,False
305031120,6593,4315,654.38,785,119.05,1346.1,1196,38.13,32.46,False,False
126021499,9844,5580,566.79,518,52.62,1006.2,1244,38.1,33.52,True,False
107041150,20761,8267,398.18,2017,97.15,2014.3,843,38.09,32.61,False,False
117031641,12658,8501,671.54,1181,93.29,9440.7,1297,38.08,20.87,True,False
402031038,22587,8414,372.5,1853,82.03,1302.3,778,38.07,33.71,False,False
116021629,15524,6559,422.48,1185,76.33,14.7,1142,38.07,33.17,False,False
801041034,6129,3081,502.61,2237,364.93,329.7,1207,38.07,25.94,False,False
124031460,21002,7387,351.71,2182,103.89,173.6,1009,38.05,32.61,False,False
128021538,23238,10641,457.89,2332,100.35,8544.5,1056,37.98,22.54,True,False
801051055,4296,2506,583.2,1508,350.94,476.7,1125,37.96,26.96,False,False
314021579,23030,7986,346.75,1752,76.07,420.7,885,37.93,33.57,False,False
122021420,13052,6487,496.97,734,56.23,924.9,1058,37.91,33.7,True,False
203021487,24763,8203,331.25,1716,69.29,83.5,784,37.9,34.3,False,False
208031190,13197,6701,507.73,1205,91.3,1899.3,981,37.89,32.5,True,False
801061070,3120,1914,613.26,822,263.38,173.6,1591,37.88,26.91,False,False
208021427,14057,6887,489.9,991,70.49,1376.7,934,37.88,33.53,True,False
207011146,7952,4824,606.56,567,71.29,133.1,1002,37.87,34.7,False,False
