SA2_CODE,Total_Population,Median_age_persons,Median_tot_prsnl_inc_weekly,Total_Managers,Total_Professionals,Total_White_Collar,Total_High_Value_Professionals,Professional_Density_per_1000,Total_Professional_Industry_Workers,Professional_Industry_Concentration,Total_Flats_Apartments,Total_Separate_Houses,Commercial_Density_Proxy,Commercial_Stock_Ratio,Commercial_Opportunity_Score,Demand_Gap_Index,Is_Employment_Cluster,Is_Emerging_Cluster,Score_Professional_Demand,Score_Professional_Density,Score_Industry_Concentration,Score_Commercial_Deficit,Score_Income
103021066,3597,52,575,903,389,1550,1292,359.09,202,56.14,134,2914,98.0,0.03,26.09,16.3,False,False,7.13,25.65,4.29,99.42,17.69
103021067,10919,39,728,1103,1509,3744,2612,239.19,935,85.62,747,7907,542.4,0.06,26.66,15.25,False,False,14.42,17.09,6.54,96.78,22.4
103021068,3262,45,623,861,343,1443,1204,368.99,145,44.44,44,2351,35.9,0.01,26.15,16.47,False,False,6.65,26.36,3.39,99.79,19.17
103021069,5525,43,730,1202,588,2276,1790,323.92,267,48.32,119,4077,101.3,0.02,26.64,16.41,False,False,9.88,23.14,3.69,99.4,22.46
103031070,12385,46,610,856,1268,3352,2124,171.48,1057,85.34,345,9706,260.4,0.03,24.53,11.8,False,False,11.73,12.25,6.52,98.45,18.77
103031071,8448,47,671,1013,957,2874,1970,233.16,732,86.64,13,6412,36.1,0.01,25.78,13.74,False,False,10.88,16.65,6.61,99.79,20.65
103031072,12563,37,786,1253,1882,4287,3135,249.52,584,46.48,126,9029,138.6,0.01,27.65,17.42,False,False,17.31,17.82,3.55,99.18,24.18
103031073,3398,53,494,454,263,897,717,210.94,98,28.83,33,3016,30.0,0.01,21.89,9.5,False,False,3.96,15.07,2.2,99.82,15.2
103031074,11072,45,664,1786,1186,3936,2972,268.4,457,41.27,64,8101,65.2,0.01,27.33,17.72,False,False,16.41,19.17,3.15,99.61,20.43
103041076,7517,43,765,1229,1024,3019,2253,299.68,526,69.97,67,5618,55.6,0.01,27.46,16.87,False,False,12.44,21.41,5.34,99.67,23.54
103041077,19023,40,742,1620,3743,7250,5363,281.91,1412,74.22,886,13779,648.1,0.04,31.76,23.92,False,False,29.61,20.14,5.67,96.15,22.83
103041078,22895,34,930,2631,5155,10800,7786,340.06,2013,87.92,626,16112,450.2,0.03,37.77,32.74,False,False,42.99,24.29,6.71,97.33,28.62
103041079,11830,43,855,2599,2107,6152,4706,397.77,887,74.97,83,8064,167.3,0.02,33.52,26.93,False,False,25.98,28.41,5.72,99.01,26.31
104011080,19255,43,607,1340,2232,5339,3572,185.5,1732,89.95,1707,13622,1286.1,0.08,26.32,15.23,False,False,19.72,13.25,6.87,92.37,18.68
104011081,16875,49,552,1840,1683,4884,3523,208.76,1177,69.74,71,11500,138.2,0.01,27.2,17.04,False,False,19.45,14.91,5.32,99.18,16.98
104011082,17533,55,571,1521,2215,5014,3736,213.07,876,49.96,669,12752,646.5,0.05,26.94,17.24,False,False,20.63,15.22,3.81,96.16,17.57
104021083,6168,46,647,676,1484,2642,2160,350.14,345,55.92,27,4529,22.8,0.0,27.65,18.44,False,False,11.93,25.01,4.27,99.86,19.91
104021084,18099,42,655,1660,2707,6279,4367,241.27,1023,56.52,2765,10236,2045.3,0.15,27.6,18.16,False,False,24.11,17.23,4.31,87.86,20.15
104021085,11305,45,648,860,1880,3860,2740,242.35,568,50.24,3065,5273,2153.3,0.26,24.71,14.15,False,False,15.13,17.31,3.84,87.22,19.94
104021086,3950,44,723,431,654,1549,1085,274.61,250,63.28,4,2661,28.6,0.01,24.87,12.78,False,False,5.99,19.62,4.83,99.83,22.25
104021087,3250,54,532,587,378,1208,965,296.83,98,30.14,35,2739,42.8,0.02,23.96,13.23,False,False,5.33,21.2,2.3,99.75,16.37
104021088,10262,43,848,1357,2561,5227,3918,381.76,785,76.49,371,6690,290.3,0.04,31.83,24.03,False,False,21.63,27.27,5.84,98.28,26.09
104021089,20066,45,683,2033,3471,7623,5504,274.28,1172,58.4,1562,12783,1196.9,0.08,30.94,23.21,False,False,30.39,19.59,4.46,92.9,21.02
104021090,4907,53,603,454,769,1652,1223,249.19,233,47.47,371,3515,306.2,0.08,23.78,12.05,False,False,6.75,17.8,3.62,98.18,18.55
104021091,14463,43,674,1882,2128,5333,4010,277.24,939,64.92,258,10254,245.1,0.02,29.44,20.67,False,False,22.14,19.8,4.96,98.55,20.74
105011092,3428,36,770,616,436,1336,1052,306.79,416,121.32,55,2383,46.6,0.02,26.4,13.82,False,False,5.81,21.91,9.26,99.72,23.69
105011093,4129,37,880,586,392,1340,978,236.8,249,60.29,186,2841,141.9,0.05,24.35,11.06,False,False,5.4,16.91,4.6,99.16,27.08
105011094,3926,38,675,817,408,1513,1225,311.94,218,55.51,122,2742,86.3,0.03,25.45,14.45,False,False,6.76,22.28,4.24,99.49,20.77
105011095,4591,44,750,954,500,1824,1454,316.64,303,65.98,47,3365,36.5,0.01,26.35,15.29,False,False,8.03,22.62,5.04,99.78,23.08
105011096,5534,44,547,916,465,1708,1381,249.5,361,65.22,67,2921,193.3,0.06,24.25,12.58,False,False,7.62,17.82,4.98,98.85,16.83
105021097,17588,44,647,1362,2362,5235,3724,211.72,1066,60.61,491,14706,349.1,0.02,27.55,17.47,False,False,20.56,15.12,4.63,97.93,19.91
105021098,2288,43,583,650,202,970,852,372.21,104,45.43,15,1393,15.9,0.01,25.53,15.63,False,False,4.7,26.59,3.47,99.91,17.94
105031099,7921,50,557,1464,795,2745,2259,285.16,433,54.66,169,5722,130.3,0.02,26.27,16.29,False,False,12.47,20.37,4.17,99.23,17.14
105031100,10633,35,850,991,1844,4140,2835,266.6,791,74.38,320,6659,228.5,0.03,28.0,17.11,False,False,15.65,19.04,5.68,98.64,26.15
105031101,19628,35,896,1995,4085,8565,6080,309.75,1811,92.26,2282,13125,1616.6,0.1,33.33,25.17,False,False,33.57,22.12,7.04,90.41,27.57
105031102,10317,34,850,1047,1647,3837,2694,261.1,771,74.72,498,6788,361.8,0.05,27.56,16.4,False,False,14.87,18.65,5.7,97.85,26.15
105031103,5963,42,863,1258,965,3007,2223,372.74,409,68.58,0,3786,0.9,0.0,29.04,19.45,False,False,12.27,26.62,5.24,99.99,26.55
105031104,4398,46,633,1013,500,1796,1513,343.94,293,66.61,155,3235,121.7,0.04,26.5,16.34,False,False,8.35,24.57,5.08,99.28,19.48
105031105,6458,41,722,1198,684,2395,1882,291.38,270,41.8,121,4462,91.3,0.02,26.1,15.52,False,False,10.39,20.81,3.19,99.46,22.22
105031106,8769,41,617,1018,803,2453,1821,207.64,673,76.74,135,5882,118.2,0.02,24.69,12.36,False,False,10.05,14.83,5.86,99.3,18.98
106011107,12770,36,897,1712,1817,4885,3529,276.33,626,49.02,40,9011,30.1,0.0,29.26,19.58,False,False,19.48,19.74,3.74,99.82,27.6
106011108,23495,39,611,1448,1797,4858,3245,138.11,1021,43.45,384,15790,294.6,0.02,25.12,13.65,False,False,17.92,9.86,3.32,98.25,18.8
106011109,9145,42,728,1093,1285,3357,2378,260.0,562,61.45,12,6351,9.3,0.0,26.75,15.84,False,False,13.13,18.57,4.69,99.94,22.4
106011110,9541,46,710,1407,1312,3761,2719,284.95,461,48.31,18,7223,33.3,0.0,27.48,17.65,False,False,15.01,20.35,3.69,99.8,21.85
106011111,20631,35,699,1299,1884,5350,3183,154.27,911,44.15,390,15031,277.5,0.02,25.6,14.06,False,False,17.57,11.02,3.37,98.35,21.51
106011112,17018,34,823,1449,2003,5236,3452,202.83,1493,87.73,612,11095,488.1,0.04,27.78,16.29,False,False,19.06,14.49,6.7,97.1,25.32
106011113,5332,42,778,768,577,1905,1345,252.2,170,31.88,0,3647,12.0,0.0,24.6,12.71,False,False,7.43,18.01,2.43,99.93,23.94
106021114,8611,34,829,979,1438,3410,2417,280.65,513,59.57,165,5800,258.3,0.04,27.25,16.44,False,False,13.34,20.05,4.55,98.47,25.51
106021116,8727,38,921,1307,2056,4430,3363,385.31,649,74.36,28,5791,19.6,0.0,31.4,23.02,False,False,18.57,27.52,5.68,99.88,28.34
106021614,17981,39,763,1728,3116,6987,4844,269.38,1230,68.4,967,12221,676.9,0.05,30.62,22.07,False,False,26.74,19.24,5.22,95.98,23.48
106021615,17730,35,788,1603,2274,5883,3877,218.66,909,51.27,197,12223,137.9,0.01,28.41,18.36,False,False,21.4,15.62,3.91,99.18,24.25
106021616,7976,34,724,593,891,2234,1484,186.03,369,46.26,214,5912,149.8,0.02,23.58,10.65,False,False,8.19,13.29,3.53,99.11,22.28
106021617,10091,41,742,882,1749,3818,2631,260.7,611,60.54,364,7170,254.8,0.03,26.99,16.32,False,False,14.53,18.62,4.62,98.49,22.83
106021618,15899,33,941,1749,3031,7174,4780,300.63,1707,107.36,113,11291,80.9,0.01,32.75,23.82,False,False,26.39,21.47,8.2,99.52,28.95
106031119,6449,52,627,602,836,2060,1438,222.95,329,51.01,18,4538,38.4,0.01,24.04,11.9,False,False,7.94,15.92,3.89,99.77,19.29
106031120,6887,50,562,429,578,1515,1007,146.2,384,55.75,39,5506,43.5,0.01,21.82,7.98,False,False,5.56,10.44,4.26,99.74,17.29
106031121,21972,55,648,2246,2930,7199,5176,235.56,1398,63.62,2312,12109,1680.8,0.11,29.25,20.44,False,False,28.58,16.83,4.86,90.03,19.94
106031122,14588,38,650,991,1296,3801,2287,156.76,887,60.8,137,10126,244.4,0.02,24.3,11.74,False,False,12.63,11.2,4.64,98.55,20.0
106031123,5693,42,876,761,1111,2661,1872,328.77,370,64.98,12,3634,10.5,0.0,27.65,16.9,False,False,10.34,23.48,4.96,99.94,26.95
106031124,5804,65,552,456,474,1303,930,160.21,200,34.45,157,4819,128.8,0.03,21.51,8.23,False,False,5.13,11.44,2.63,99.24,16.98
106031125,15020,40,752,1498,2013,5345,3511,233.74,1637,108.98,42,10646,87.3,0.01,28.89,17.95,False,False,19.38,16.7,8.32,99.48,23.14
106041126,12272,35,759,708,1116,2810,1824,148.62,503,40.98,75,8928,66.3,0.01,23.58,10.3,False,False,10.07,10.62,3.13,99.61,23.35
106041127,4083,42,800,634,379,1411,1013,248.04,154,37.71,74,2823,60.5,0.02,24.09,11.61,False,False,5.59,17.72,2.88,99.64,24.62
106041128,6035,39,805,616,848,1974,1464,242.54,291,48.21,88,4307,69.1,0.02,24.91,12.65,False,False,8.08,17.32,3.68,99.59,24.77
106041129,8194,44,706,1453,804,2890,2257,275.41,334,40.76,18,6348,44.1,0.01,26.41,16.02,False,False,12.46,19.67,3.11,99.74,21.72
107011131,24195,41,670,1888,3001,7528,4889,202.06,1393,57.57,570,16669,400.2,0.02,29.29,20.22,False,False,26.99,14.43,4.4,97.63,20.62
107011132,12155,34,893,1254,2372,5597,3626,298.29,980,80.62,14,7766,11.3,0.0,30.3,20.65,False,False,20.02,21.31,6.15,99.93,27.48
107011134,15280,41,763,1577,3387,6932,4964,324.85,1022,66.88,649,10391,465.1,0.04,31.98,24.61,False,False,27.41,23.2,5.11,97.24,23.48
107011545,14200,39,560,820,1462,3563,2282,160.69,653,45.98,1201,10133,848.2,0.07,23.32,11.43,False,False,12.6,11.48,3.51,94.97,17.23
107011546,9740,42,551,581,1086,2436,1667,171.13,492,50.51,1860,6002,1306.8,0.17,22.12,9.88,False,False,9.2,12.22,3.86,92.25,16.95
107011547,4239,51,609,293,506,1244,799,188.44,248,58.49,267,3116,237.0,0.07,22.24,8.81,False,False,4.41,13.46,4.47,98.59,18.74
107031136,19026,34,869,1875,3279,7830,5154,270.88,1492,78.41,100,11849,71.2,0.01,32.18,23.8,False,False,28.45,19.35,5.99,99.58,26.74
107031137,6920,41,636,507,674,1887,1181,170.64,437,63.14,63,4314,45.9,0.01,22.88,9.33,False,False,6.52,12.19,4.82,99.73,19.57
107031138,8786,51,794,1135,2179,4088,3314,377.15,757,86.15,1478,4387,1057.7,0.18,30.04,21.2,False,False,18.3,26.94,6.58,93.72,24.43
107031139,6063,44,867,741,1526,2913,2267,373.85,589,97.13,90,3989,63.0,0.02,29.53,19.54,False,False,12.52,26.7,7.42,99.63,26.68
107031140,8136,48,836,1371,2081,4257,3452,424.23,673,82.71,237,5209,176.1,0.03,31.97,24.42,False,False,19.06,30.3,6.31,98.95,25.72
107031141,19341,39,841,2292,3921,8856,6213,321.22,1691,87.43,814,11030,607.0,0.05,34.41,27.59,False,False,34.3,22.94,6.67,96.4,25.88
107031142,10590,43,692,887,1489,3645,2376,224.34,674,63.64,422,6402,303.8,0.04,25.77,14.31,False,False,13.12,16.02,4.86,98.2,21.29
107031143,20397,43,587,1245,1999,5069,3244,159.04,1041,51.03,1963,14133,1523.8,0.09,24.44,13.31,False,False,17.91,11.36,3.9,90.96,18.06
107041144,21519,40,728,2290,5175,9947,7465,346.89,1608,74.72,2356,11929,1692.1,0.12,35.43,29.68,False,False,41.21,24.78,5.7,89.96,22.4
107041145,16041,41,737,1482,3371,6658,4853,302.52,1246,77.67,2341,7941,1666.0,0.16,30.41,21.81,False,False,26.79,21.61,5.93,90.11,22.68
107041146,22773,36,746,2539,6238,11325,8777,385.4,1779,78.12,1666,12852,1273.6,0.09,38.77,35.12,False,False,48.46,27.53,5.96,92.44,22.95
107041147,9135,39,1005,1298,2452,5002,3750,410.46,924,101.14,764,5292,546.5,0.09,32.69,24.2,False,False,20.7,29.32,7.72,96.76,30.92
107041148,11957,43,1014,1968,4398,7552,6366,532.36,1232,103.03,820,7165,588.4,0.07,39.22,35.31,True,False,35.15,38.03,7.87,96.51,31.2
107041150,20761,41,843,2747,5520,10566,8267,398.18,2017,97.15,2836,11119,2014.3,0.14,38.09,32.61,False,False,45.64,28.44,7.42,88.05,25.94
107041548,16020,36,892,2212,5448,9728,7660,478.12,1387,86.57,17036,1508,12002.0,0.64,29.61,11.0,True,False,42.29,34.15,6.61,28.78,27.45
107041549,16551,34,755,1653,4792,8287,6445,389.38,1235,74.61,6315,6813,4434.0,0.34,32.14,23.36,False,False,35.58,27.81,5.7,73.69,23.23
108011151,5235,51,577,721,505,1619,1226,234.15,178,34.0,18,3999,25.5,0.01,23.48,11.73,False,False,6.77,16.72,2.6,99.85,17.75
108011152,14709,57,582,1078,1942,4178,3020,205.3,566,38.48,2699,9077,1975.4,0.16,24.29,13.83,False,False,16.67,14.66,2.94,88.28,17.91
108011153,6988,53,572,689,865,2072,1554,222.35,281,40.21,47,5189,108.5,0.02,23.82,12.15,False,False,8.58,15.88,3.07,99.36,17.6
108011154,6376,62,499,350,538,1344,888,139.25,174,27.29,1559,3393,1125.5,0.22,19.91,6.93,False,False,4.9,9.95,2.08,93.32,15.35
108021155,15654,42,542,977,1460,3500,2437,155.67,745,47.59,839,10468,637.7,0.06,23.64,11.82,False,False,13.45,11.12,3.63,96.22,16.68
108021156,9472,51,570,1151,1229,3087,2380,251.24,502,52.99,192,7092,169.5,0.02,25.84,15.39,False,False,13.14,17.95,4.05,98.99,17.54
108021157,5189,50,525,438,568,1400,1006,193.83,229,44.12,131,3922,140.0,0.03,22.29,9.62,False,False,5.55,13.85,3.37,99.17,16.15
108021158,7111,56,501,367,684,1512,1051,147.78,175,24.61,872,5002,659.0,0.11,20.71,7.86,False,False,5.8,10.56,1.88,96.09,15.42
108021159,8102,50,554,1037,1046,2707,2083,257.07,330,40.73,37,6099,35.8,0.01,25.34,14.9,False,False,11.5,18.36,3.11,99.79,17.05
108021160,5628,58,537,455,594,1476,1049,186.36,265,47.08,694,4266,497.2,0.1,21.99,9.27,False,False,5.79,13.31,3.59,97.05,16.52
108031161,445,46,961,121,49,222,170,381.17,111,248.88,30,271,21.0,0.07,28.83,14.06,False,False,0.94,27.23,19.0,99.88,29.57
108041162,18484,58,573,1442,2388,5344,3830,207.2,651,35.22,735,13864,656.4,0.04,26.76,17.27,False,False,21.15,14.8,2.69,96.1,17.63
108041164,21147,47,644,1754,3316,7122,5070,239.74,916,43.31,3205,12208,2275.3,0.15,28.3,19.51,False,False,27.99,17.12,3.31,86.5,19.82
108041165,5301,50,632,907,659,2116,1566,295.36,253,47.72,0,3688,29.7,0.01,25.51,14.85,False,False,8.65,21.1,3.64,99.82,19.45
108041166,12796,43,653,1136,1613,4153,2749,214.82,641,50.09,122,8993,97.7,0.01,26.08,15.17,False,False,15.18,15.34,3.82,99.42,20.09
108041619,11764,46,761,1396,2980,5656,4376,371.95,729,61.96,3840,5885,2719.5,0.28,29.76,21.27,False,False,24.16,26.57,4.73,83.86,23.42
108041620,17284,49,691,1636,3692,7278,5328,308.24,1073,62.08,606,11668,426.0,0.03,32.02,25.07,False,False,29.42,22.02,4.74,97.47,21.26
108051167,5310,55,564,737,498,1593,1235,232.54,204,38.41,92,4381,79.1,0.02,23.45,11.66,False,False,6.82,16.61,2.93,99.53,17.35
108051168,12476,53,634,1086,2190,4350,3276,262.56,650,52.1,297,9220,259.2,0.03,27.63,18.14,False,False,18.09,18.75,3.98,98.46,19.51
108051169,21123,46,559,1366,2236,5094,3602,170.52,650,30.77,1788,14783,1292.4,0.08,25.05,14.8,False,False,19.89,12.18,2.35,92.33,17.2
