SAL_CODE_2021,synthetic_population,avg_age_synthetic,median_income_synthetic,mode_education_synthetic
SAL10106,23,38.30434782608695,1528.0,No qualification
SAL10107,1607,36.92843808338519,1261.0,No qualification
SAL10108,2,78.0,2795.0,Bachelor
SAL10109,94,35.95744680851064,1400.0,No qualification
SAL10110,266,39.25187969924812,1460.0,No qualification
SAL10111,6,43.333333333333336,1482.0,Diploma
SAL10112,411,38.92700729927007,1365.0,No qualification
SAL10114,9,33.111111111111114,1647.0,Year 12
SAL10115,195,36.18974358974359,1513.0,Year 12
SAL10117,77,42.064935064935064,1359.0,No qualification
SAL10118,2,62.5,1728.0,Certificate III/IV
SAL10119,15,47.666666666666664,1194.0,Certificate III/IV
SAL10120,8,35.25,894.0,Year 12
SAL10121,5,26.6,1211.0,Bachelor
SAL10125,1,45.0,761.0,Year 12
SAL10129,1,49.0,642.0,Diploma
SAL10130,3,36.0,3023.0,No qualification
SAL10131,8,55.625,743.0,Postgraduate
SAL10133,12,38.25,2340.5,Bachelor
SAL10134,1,41.0,1527.0,No qualification
SAL10135,3,18.0,1591.0,Certificate III/IV
SAL10136,3,46.666666666666664,893.0,No qualification
SAL10137,1,22.0,403.0,No qualification
SAL10138,2,35.0,2452.0,No qualification
SAL10139,3,73.66666666666667,4315.0,Certificate III/IV
SAL10140,2,49.5,1627.5,Certificate III/IV
SAL10141,1,60.0,5504.0,Bachelor
SAL10143,2,46.5,665.5,Certificate III/IV
SAL10144,30,43.46666666666667,1194.5,Year 12
SAL10145,3,18.666666666666668,711.0,Diploma
SAL10146,24,37.125,1181.0,Certificate III/IV
SAL10147,1,32.0,4296.0,Year 12
SAL10148,15,34.53333333333333,1452.0,Bachelor
SAL10150,1,35.0,953.0,Diploma
SAL10151,5,38.0,1424.0,Certificate III/IV
SAL10152,1,4.0,1947.0,Diploma
SAL10153,1,13.0,260.0,Postgraduate
SAL10154,306,38.19934640522876,1411.0,No qualification
SAL10155,136,37.74264705882353,1368.0,No qualification
SAL10156,198,39.98989898989899,1308.0,No qualification
SAL10158,11,29.0,2667.0,No qualification
SAL10160,9,46.77777777777778,2108.0,Year 12
SAL10161,4,36.0,635.5,Postgraduate
SAL10162,13,31.846153846153847,1233.0,No qualification
SAL10163,401,37.65336658354115,1339.0,No qualification
SAL10165,394,39.34263959390863,1234.5,No qualification
SAL10166,72,38.625,1207.0,Year 12
SAL10167,36,34.416666666666664,1038.5,No qualification
SAL10168,19,40.05263157894737,1379.0,No qualification
SAL10169,44,34.18181818181818,1555.0,Year 12
SAL10170,2,49.5,634.5,Certificate III/IV
SAL10172,7,37.285714285714285,1110.0,Year 12
SAL10174,33,36.63636363636363,1634.0,No qualification
SAL10175,140,35.5,1301.5,No qualification
SAL10176,2,35.5,1657.5,No qualification
SAL10177,4,32.75,516.5,Certificate III/IV
SAL10178,210,41.01904761904762,1415.5,No qualification
SAL10179,132,38.61363636363637,1314.0,Year 12
SAL10180,15,42.666666666666664,1597.0,No qualification
SAL10181,1348,37.339020771513354,1277.0,No qualification
SAL10183,3,28.333333333333332,758.0,No qualification
SAL10184,4,57.25,1288.5,Bachelor
SAL10186,693,38.467532467532465,1409.0,No qualification
SAL10187,2,49.0,2725.0,Diploma
SAL10188,56,37.410714285714285,1171.0,No qualification
SAL10189,8,43.5,1349.5,Certificate III/IV
SAL10191,30,39.666666666666664,1200.5,Bachelor
SAL10192,7,30.714285714285715,1296.0,Bachelor
SAL10194,149,41.75167785234899,1351.0,Certificate III/IV
SAL10195,216,36.55555555555556,1366.0,Year 12
SAL10196,97,35.91752577319588,1317.0,No qualification
SAL10197,89,36.31460674157304,1468.0,No qualification
SAL10198,14,31.571428571428573,1570.5,No qualification
SAL10199,193,40.61658031088083,1463.0,No qualification
SAL10200,66,40.75757575757576,1126.0,No qualification
SAL10202,6,44.666666666666664,876.0,Bachelor
SAL10203,18,41.27777777777778,1223.0,Diploma
SAL10205,77,41.20779220779221,1292.0,Year 12
SAL10206,76,37.10526315789474,1306.5,Certificate III/IV
SAL10207,62,33.483870967741936,1363.0,Certificate III/IV
SAL10208,256,37.28515625,1333.5,Year 12
SAL10209,31,39.70967741935484,1116.0,Bachelor
SAL10210,9,41.0,770.0,Certificate III/IV
SAL10211,4,39.0,1715.0,Certificate III/IV
SAL10212,1,19.0,1589.0,Bachelor
SAL10214,8,44.75,1430.0,Certificate III/IV
SAL10216,6,54.0,1417.0,Bachelor
SAL10217,18,36.666666666666664,1091.5,Certificate III/IV
SAL10219,6,50.666666666666664,2345.5,Bachelor
SAL10221,6,41.833333333333336,1627.0,Year 12
SAL10222,2,15.5,1399.0,Certificate III/IV
SAL10223,60,37.45,1640.0,No qualification
SAL10224,436,36.788990825688074,1269.5,No qualification
SAL10226,5,49.2,697.0,Certificate III/IV
SAL10227,532,40.42669172932331,1322.5,No qualification
SAL10228,63,40.95238095238095,1510.0,Bachelor
SAL10229,56,36.0,1556.5,No qualification
SAL10231,271,39.845018450184504,1463.0,No qualification
SAL10232,36,40.666666666666664,1369.0,No qualification
SAL10233,1487,36.416274377942166,1386.0,No qualification
SAL10234,14,37.714285714285715,1304.0,Bachelor
SAL10235,32,35.46875,1243.0,Certificate III/IV
SAL10237,141,35.765957446808514,1168.0,No qualification
SAL10238,310,37.061290322580646,1341.0,No qualification
SAL10239,52,39.94230769230769,1287.0,Bachelor
SAL10240,1,25.0,1627.0,Certificate III/IV
SAL10241,6,51.666666666666664,1264.5,No qualification
SAL10242,8,44.5,874.0,No qualification
SAL10243,351,38.19088319088319,1235.0,No qualification
SAL10244,4,33.25,1434.5,No qualification
SAL10245,2,41.5,4572.0,Certificate III/IV
SAL10246,3,18.666666666666668,1956.0,Certificate III/IV
SAL10247,5,33.6,1296.0,Certificate III/IV
SAL10248,47,32.638297872340424,1387.0,Postgraduate
SAL10249,426,36.70422535211268,1412.0,No qualification
SAL10251,13,46.23076923076923,739.0,No qualification
SAL10252,2,23.5,5551.0,No qualification
SAL10253,221,36.452488687782804,1237.0,No qualification
SAL10254,3,51.0,1457.0,No qualification
SAL10256,4,30.25,852.0,Certificate III/IV
SAL10257,229,39.069868995633186,1195.0,Certificate III/IV
SAL10258,7,37.142857142857146,1606.0,Year 12
SAL10259,2,4.0,4603.0,Certificate III/IV
SAL10260,4,23.75,1214.5,Bachelor
SAL10261,26,29.884615384615383,1551.5,Bachelor
SAL10263,322,39.91925465838509,1192.0,No qualification
SAL10264,174,39.04597701149425,1533.0,Year 12
SAL10265,1,10.0,693.0,No qualification
SAL10266,7,32.57142857142857,630.0,No qualification
SAL10267,4,52.75,1103.5,Bachelor
SAL10268,94,40.340425531914896,1528.5,No qualification
SAL10269,38,36.026315789473685,1172.5,Certificate III/IV
SAL10270,17,34.05882352941177,1284.0,No qualification
SAL10271,419,37.369928400954656,1340.0,No qualification
SAL10272,3,15.0,3157.0,Certificate III/IV
SAL10273,150,38.413333333333334,1389.0,No qualification
SAL10274,5,34.8,1457.0,Certificate III/IV
SAL10275,1,24.0,1909.0,Postgraduate
SAL10276,292,38.044520547945204,1347.0,Certificate III/IV
SAL10277,231,38.48051948051948,1511.0,No qualification
SAL10278,42,42.166666666666664,1091.0,Certificate III/IV
SAL10279,552,37.36413043478261,1237.0,No qualification
SAL10280,11,31.454545454545453,980.0,No qualification
SAL10283,336,38.38988095238095,1431.0,No qualification
SAL10284,31,42.806451612903224,861.0,No qualification
SAL10285,1,0.0,1680.0,Year 12
SAL10286,6,44.0,1211.5,Certificate III/IV
SAL10287,6,32.166666666666664,1309.0,No qualification
SAL10288,3,21.333333333333332,2338.0,Diploma
SAL10289,21,36.666666666666664,1120.0,No qualification
SAL10290,5,44.4,933.0,Certificate III/IV
SAL10291,9,42.666666666666664,1201.0,No qualification
SAL10292,6,25.166666666666668,937.5,No qualification
SAL10293,5,50.4,2552.0,Certificate III/IV
SAL10296,2,41.0,2950.5,Bachelor
SAL10297,88,36.88636363636363,998.0,No qualification
SAL10298,9,38.0,1618.0,Certificate III/IV
SAL10299,325,36.996923076923075,1361.0,No qualification
SAL10300,3,35.666666666666664,1850.0,Bachelor
SAL10301,144,38.09722222222222,1264.0,No qualification
SAL10302,3,27.666666666666668,885.0,Bachelor
SAL10303,332,39.62951807228916,1406.5,No qualification
SAL10304,358,37.76536312849162,1403.0,No qualification
SAL10305,79,37.48101265822785,1367.0,No qualification
SAL10307,65,35.2,1393.0,No qualification
SAL10308,177,36.909604519774014,1340.0,No qualification
SAL10309,193,39.512953367875646,1470.0,No qualification
SAL10310,3,19.333333333333332,2129.0,Bachelor
SAL10311,24,35.833333333333336,1616.5,Year 12
SAL10312,14,42.714285714285715,1041.5,No qualification
SAL10313,5,29.4,2967.0,No qualification
SAL10314,1,33.0,4596.0,Year 12
SAL10315,53,34.132075471698116,1225.0,No qualification
SAL10316,1,46.0,719.0,No qualification
SAL10317,61,36.08196721311475,1178.0,Certificate III/IV
SAL10318,6,32.166666666666664,2059.0,No qualification
SAL10319,29,35.275862068965516,1709.0,No qualification
SAL10321,107,38.626168224299064,1211.0,No qualification
SAL10322,3,17.666666666666668,2032.0,No qualification
SAL10323,1,3.0,2159.0,Postgraduate
SAL10324,6,41.0,393.0,No qualification
SAL10325,3,19.0,2328.0,No qualification
SAL10326,8,26.875,1491.5,Bachelor
SAL10327,4,24.25,817.5,Certificate III/IV
SAL10328,1,100.0,635.0,Certificate III/IV
SAL10329,91,38.45054945054945,1465.0,Year 12
SAL10330,469,38.42217484008529,1342.0,Certificate III/IV
SAL10331,1,46.0,1867.0,No qualification
SAL10332,19,40.578947368421055,1230.0,No qualification
SAL10333,801,39.40074906367041,1346.0,Year 12
SAL10334,169,36.9585798816568,1263.0,No qualification
SAL10335,1,34.0,1513.0,No qualification
SAL10336,5,38.6,1063.0,Certificate III/IV
SAL10337,5,20.4,1814.0,Bachelor
SAL10339,160,38.6875,1339.5,No qualification
SAL10340,5,38.4,1315.0,Certificate III/IV
SAL10341,2,45.0,4067.5,No qualification
SAL10344,1,0.0,2796.0,Certificate III/IV
SAL10345,9,39.77777777777778,907.0,No qualification
SAL10346,16,33.25,1032.0,No qualification
SAL10347,149,34.92617449664429,1273.0,Year 12
SAL10348,29,36.13793103448276,1168.0,Year 12
SAL10349,10,28.1,1762.5,Certificate III/IV
SAL10350,138,40.231884057971016,1350.0,No qualification
SAL10351,3,15.0,2328.0,No qualification
SAL10353,6,43.333333333333336,1719.0,Bachelor
SAL10354,7,30.285714285714285,979.0,No qualification
SAL10355,3,30.0,1212.0,Diploma
SAL10356,6,29.333333333333332,1327.0,Year 12
SAL10357,19,37.1578947368421,1367.0,Bachelor
SAL10359,3,37.333333333333336,1087.0,Bachelor
SAL10360,5,24.8,1913.0,Certificate III/IV
SAL10361,24,42.291666666666664,898.0,Year 12
SAL10362,12,26.833333333333332,1546.5,Bachelor
SAL10363,1,27.0,2084.0,Diploma
SAL10364,50,38.96,1140.0,Bachelor
SAL10365,1,27.0,629.0,Postgraduate
SAL10366,7,28.142857142857142,1439.0,Certificate III/IV
SAL10367,4,40.25,1373.0,Certificate III/IV
SAL10368,6,23.166666666666668,2448.5,Certificate III/IV
SAL10369,17,38.05882352941177,1362.0,No qualification
SAL10370,7,31.571428571428573,607.0,Diploma
SAL10371,26,38.42307692307692,1397.0,No qualification
SAL10372,3,20.0,504.0,Certificate III/IV
SAL10373,103,35.12621359223301,1202.0,Year 12
SAL10374,1,68.0,1198.0,Diploma
SAL10375,4,49.25,674.5,Bachelor
SAL10376,115,39.03478260869565,1214.0,Year 12
SAL10377,1,6.0,1008.0,Certificate III/IV
SAL10378,135,35.68888888888889,1366.0,No qualification
SAL10379,6,39.833333333333336,1408.5,Bachelor
SAL10380,6,26.5,1120.0,Certificate III/IV
SAL10381,1,19.0,2595.0,No qualification
SAL10382,1,40.0,2123.0,Year 12
SAL10383,42,44.904761904761905,1494.5,Certificate III/IV
SAL10384,19,40.21052631578947,1672.0,No qualification
SAL10385,1,37.0,325.0,Certificate III/IV
SAL10386,16,37.9375,1226.5,No qualification
SAL10387,12,19.583333333333332,1246.5,Certificate III/IV
SAL10388,13,37.92307692307692,1379.0,Certificate III/IV
SAL10389,100,39.5,1609.0,No qualification
SAL10390,147,35.673469387755105,1501.0,No qualification
SAL10391,159,37.38993710691824,1221.0,No qualification
SAL10392,172,37.383720930232556,1508.5,No qualification
SAL10394,9,52.0,1306.0,Year 12
SAL10395,77,39.76623376623377,1313.0,No qualification
SAL10396,1929,38.27682737169518,1338.0,No qualification
SAL10397,5,36.4,1879.0,Certificate III/IV
SAL10398,84,34.833333333333336,1274.5,No qualification
SAL10399,119,39.47899159663866,1364.0,Year 12
SAL10400,19,40.94736842105263,916.0,Year 12
SAL10401,7,44.714285714285715,1198.0,Certificate III/IV
SAL10402,271,41.47232472324723,1348.0,No qualification
SAL10403,2,44.5,2084.0,Bachelor
SAL10404,2,72.0,1875.5,Bachelor
SAL10405,6,33.666666666666664,958.0,Year 12
SAL10406,297,37.68350168350168,1386.0,No qualification
SAL10407,5,30.8,2228.0,Bachelor
SAL10408,27,39.18518518518518,1636.0,Certificate III/IV
SAL10409,159,39.264150943396224,1459.0,No qualification
SAL10410,234,39.05128205128205,1272.0,No qualification
SAL10411,6,29.666666666666668,1301.5,Certificate III/IV
SAL10413,40,35.4,1175.5,Certificate III/IV
SAL10414,242,38.752066115702476,1543.5,No qualification
SAL10415,12,43.166666666666664,1175.5,No qualification
SAL10417,1,41.0,2285.0,Postgraduate
SAL10418,1,36.0,878.0,Certificate III/IV
SAL10419,11,41.0,1313.0,Diploma
SAL10420,54,36.98148148148148,1263.5,Certificate III/IV
SAL10421,212,37.49528301886792,1366.0,No qualification
SAL10422,4,22.75,718.0,No qualification
SAL10424,43,42.53488372093023,1459.0,Bachelor
SAL10425,1,6.0,1231.0,Diploma
SAL10426,8,39.0,977.0,Certificate III/IV
SAL10427,3,47.0,1537.0,Bachelor
SAL10428,26,35.73076923076923,1819.0,Certificate III/IV
SAL10429,1,54.0,1365.0,No qualification
SAL10431,6,36.333333333333336,755.0,Year 12
SAL10433,38,38.89473684210526,1381.5,Certificate III/IV
SAL10434,3,36.666666666666664,3252.0,Certificate III/IV
SAL10435,4,32.0,1727.0,Diploma
SAL10436,1,29.0,359.0,No qualification
SAL10437,11,42.27272727272727,1101.0,Bachelor
SAL10438,139,36.89208633093525,1448.0,Bachelor
SAL10439,5,53.4,3183.0,Bachelor
SAL10440,57,36.92982456140351,1324.0,Certificate III/IV
SAL10441,36,38.44444444444444,1477.0,Bachelor
SAL10443,7,42.0,558.0,Certificate III/IV
SAL10444,1,0.0,2450.0,Certificate III/IV
SAL10445,2,21.0,856.5,No qualification
SAL10446,3,24.0,878.0,Bachelor
SAL10447,2,30.0,2492.0,Bachelor
SAL10448,70,33.97142857142857,1443.0,Certificate III/IV
SAL10449,46,38.23913043478261,1449.5,Certificate III/IV
SAL10450,141,34.91489361702128,1411.0,No qualification
SAL10452,270,38.88148148148148,1294.0,No qualification
SAL10453,3,29.666666666666668,2242.0,Certificate III/IV
SAL10454,82,36.34146341463415,1472.5,Year 12
SAL10455,6,40.5,556.0,Postgraduate
SAL10456,25,41.04,1732.0,Certificate III/IV
SAL10457,4,57.0,1340.0,Year 12
SAL10458,9,40.0,1296.0,Certificate III/IV
SAL10459,1,31.0,2494.0,No qualification
SAL10460,1,41.0,2243.0,Bachelor
SAL10461,5,23.2,1718.0,Bachelor
SAL10462,404,37.98267326732673,1383.0,No qualification
SAL10463,472,36.720338983050844,1293.0,No qualification
SAL10465,400,38.035,1337.0,Certificate III/IV
SAL10466,144,34.9375,1499.0,Certificate III/IV
SAL10467,98,36.255102040816325,1196.0,No qualification
SAL10468,119,34.411764705882355,1292.0,No qualification
SAL10469,408,38.424019607843135,1298.0,No qualification
SAL10470,286,36.88111888111888,1359.0,Certificate III/IV
SAL10471,6,39.666666666666664,2059.5,Year 12
SAL10472,125,39.616,1241.0,No qualification
SAL10473,5,52.0,1018.0,Certificate III/IV
SAL10474,8,43.25,764.0,Certificate III/IV
SAL10475,58,41.63793103448276,1213.0,No qualification
SAL10476,6,24.833333333333332,1635.5,No qualification
SAL10479,1,13.0,911.0,Bachelor
SAL10480,62,42.596774193548384,1399.5,No qualification
SAL10484,4,27.25,1422.5,No qualification
SAL10485,20,41.7,1564.5,Bachelor
SAL10486,5,39.6,1531.0,Bachelor
SAL10487,7,32.857142857142854,2080.0,No qualification
SAL10489,2,41.0,329.0,Bachelor
SAL10490,4,28.0,699.0,Bachelor
SAL10492,5,14.8,898.0,Diploma
SAL10493,77,36.298701298701296,1331.0,No qualification
SAL10494,22,46.31818181818182,1052.0,Diploma
SAL10495,1,34.0,2695.0,Diploma
SAL10497,1,35.0,898.0,Year 12
SAL10499,69,36.0,1348.0,No qualification
SAL10500,1,29.0,3287.0,Year 12
SAL10501,80,41.375,1564.5,No qualification
SAL10502,5,46.0,1169.0,Bachelor
SAL10504,7,32.57142857142857,864.0,Diploma
SAL10505,7,46.285714285714285,2025.0,No qualification
SAL10507,2,54.5,1664.5,Bachelor
SAL10509,3,44.0,621.0,Bachelor
SAL10510,8,34.375,1917.5,Bachelor
SAL10511,19,44.26315789473684,1296.0,No qualification
SAL10512,1,63.0,968.0,Year 12
SAL10513,607,38.448105436573314,1413.0,No qualification
SAL10514,3,35.666666666666664,1388.0,Diploma
SAL10515,497,37.34808853118712,1393.0,No qualification
SAL10516,6,34.0,1715.5,Year 12
SAL10519,1,48.0,252.0,Bachelor
SAL10520,78,35.8974358974359,1277.5,No qualification
SAL10521,134,38.96268656716418,1436.5,Year 12
SAL10522,2,47.0,1996.0,Certificate III/IV
SAL10523,1,48.0,1179.0,Year 12
SAL10524,63,34.142857142857146,1427.0,Year 12
SAL10525,5,38.6,1116.0,No qualification
SAL10526,54,41.351851851851855,1356.5,Year 12
SAL10527,73,37.21917808219178,1225.0,Certificate III/IV
SAL10528,1,23.0,2845.0,No qualification
SAL10529,6,37.166666666666664,1012.0,Diploma
SAL10530,2,34.5,831.0,Diploma
SAL10532,6,29.0,2603.5,No qualification
SAL10533,30,41.06666666666667,1230.0,No qualification
SAL10534,454,36.89867841409691,1308.0,Year 12
SAL10535,60,39.35,1315.5,No qualification
SAL10537,257,38.57976653696498,1259.0,No qualification
SAL10538,5,34.2,2172.0,No qualification
SAL10539,2,46.5,1735.5,Certificate III/IV
SAL10540,384,37.846354166666664,1310.0,No qualification
SAL10541,1,58.0,1498.0,Year 12
SAL10542,37,34.486486486486484,1890.0,No qualification
SAL10543,2,47.0,2477.5,No qualification
SAL10544,69,36.18840579710145,1395.0,No qualification
SAL10545,30,32.166666666666664,760.5,Certificate III/IV
SAL10546,79,37.139240506329116,1409.0,No qualification
SAL10547,14,44.57142857142857,2189.5,Certificate III/IV
SAL10548,1,14.0,2031.0,No qualification
SAL10549,33,39.90909090909091,1335.0,Certificate III/IV
SAL10550,7,43.142857142857146,1538.0,Certificate III/IV
SAL10551,5,41.4,1334.0,Certificate III/IV
SAL10552,5,35.4,977.0,Bachelor
SAL10553,1,45.0,609.0,Postgraduate
SAL10554,203,35.960591133004925,1443.0,No qualification
SAL10555,1,48.0,1235.0,No qualification
SAL10556,12,43.0,1316.0,Bachelor
SAL10557,4,38.25,1104.0,Certificate III/IV
SAL10558,6,43.0,1121.5,Certificate III/IV
SAL10559,1,50.0,814.0,Certificate III/IV
SAL10560,62,38.193548387096776,1642.5,Year 12
SAL10561,9,34.77777777777778,1528.0,Bachelor
SAL10562,3,39.333333333333336,1443.0,Certificate III/IV
SAL10563,10,43.4,2027.5,Bachelor
SAL10564,15,35.733333333333334,1315.0,No qualification
SAL10565,18,28.833333333333332,1601.5,Diploma
SAL10566,349,37.240687679083095,1389.0,No qualification
SAL10567,43,43.18604651162791,1402.0,Certificate III/IV
SAL10569,1,0.0,1036.0,Certificate III/IV
SAL10570,2,28.5,1717.5,No qualification
SAL10572,98,36.06122448979592,1413.5,No qualification
SAL10574,8,44.375,1919.5,No qualification
SAL10575,66,39.13636363636363,1380.0,No qualification
SAL10576,3,53.333333333333336,1909.0,Year 12
SAL10577,26,41.46153846153846,1654.5,Certificate III/IV
SAL10578,3,37.333333333333336,2944.0,Bachelor
SAL10580,16,36.0,1968.0,No qualification
SAL10581,9,26.444444444444443,1792.0,Certificate III/IV
SAL10582,4,41.25,1021.0,Certificate III/IV
SAL10583,2,23.5,624.0,No qualification
SAL10585,2,44.0,1755.0,Certificate III/IV
SAL10586,28,41.035714285714285,1357.5,Year 12
SAL10587,23,47.17391304347826,1251.0,No qualification
SAL10588,13,49.69230769230769,1680.0,Certificate III/IV
SAL10589,707,39.127298444130126,1378.0,No qualification
SAL10590,2,40.0,2243.5,Certificate III/IV
SAL10591,248,35.45564516129032,1366.5,No qualification
SAL10592,5,41.0,1299.0,No qualification
SAL10593,7,48.714285714285715,1564.0,No qualification
SAL10594,1,26.0,501.0,Year 12
SAL10595,11,33.81818181818182,1500.0,No qualification
SAL10596,22,44.36363636363637,1147.5,Certificate III/IV
SAL10598,144,39.03472222222222,1526.0,No qualification
SAL10600,10,28.6,1833.5,Certificate III/IV
SAL10602,4,29.75,1413.0,Certificate III/IV
SAL10603,7,28.571428571428573,879.0,Year 12
SAL10604,3,40.333333333333336,1672.0,Year 12
SAL10605,66,34.77272727272727,1421.0,Certificate III/IV
SAL10606,23,36.21739130434783,1365.0,No qualification
SAL10607,2,52.5,2761.0,No qualification
SAL10608,3,53.666666666666664,647.0,No qualification
SAL10609,16,36.5625,1526.5,Certificate III/IV
SAL10610,3,27.333333333333332,1652.0,Certificate III/IV
SAL10611,3,8.666666666666666,1585.0,Bachelor
SAL10612,1,32.0,648.0,Year 12
SAL10614,2,35.5,1496.5,Bachelor
SAL10615,6,44.833333333333336,1066.5,Certificate III/IV
SAL10617,8,26.625,1257.5,Bachelor
SAL10618,89,37.53932584269663,1434.0,Certificate III/IV
SAL10619,9,31.555555555555557,1450.0,No qualification
SAL10620,2,22.5,737.5,No qualification
SAL10622,23,29.26086956521739,1077.0,Year 12
SAL10623,5,40.4,1321.0,Postgraduate
SAL10624,1,6.0,1639.0,Certificate III/IV
SAL10625,11,47.0,1394.0,No qualification
SAL10626,9,35.888888888888886,1570.0,Bachelor
SAL10627,3,54.666666666666664,4153.0,Bachelor
SAL10631,8,34.25,1050.5,No qualification
SAL10632,3,35.333333333333336,969.0,No qualification
SAL10633,1,9.0,1094.0,No qualification
SAL10634,2,37.5,4307.0,Bachelor
SAL10635,1,42.0,790.0,No qualification
SAL10638,10,49.7,1016.0,Certificate III/IV
SAL10639,150,38.28666666666667,1276.5,No qualification
SAL10641,7,49.857142857142854,3375.0,No qualification
SAL10642,137,34.97080291970803,1335.0,Certificate III/IV
