Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Wage_Pct,Investment_Pct,Govt_Benefit_Pct,Wealth_Score,House_Pct,Outright_Pct,Retiree_Score,Contrarian_Score
Castlecrag,SAL10848,76500.3782575939,73.00068352699932,5431.892886807148,6.100478468899524,99.65823650034176,9630.895420369105,10000.0,84.84526497542835,75.98204264870931,1446,47,3.0,1969.0529950856687,2965,4333,1010,0.6915097350781998,4675,47.84552289815448,52.15447710184552,23,52.15447710184552,50.0,30.0,30.0,45.6107997265892
Huntleys Cove,SAL11967,34544.808820258804,63.70471633629528,5091.522300692008,13.73889268626111,86.80792891319207,9043.062200956936,9357.14285714286,88.5036496350365,58.97959183673469,1177,50,2.2,2700.729927007299,740,3250,700,0.637213254035684,2359,44.78468899521531,55.21531100478469,20,55.21531100478469,50.0,30.0,30.0,45.29528366370472
Pokolbin,SAL13248,14543.17560841294,64.38824333561176,4693.280587833219,31.27136021872863,67.66917293233082,8250.170881749827,8785.714285714286,10.0,42.35294117647059,1045,57,2.4,8.319117872145705,1049,2550,600,0.563121089436879,2395,34.74914559125085,65.25085440874915,13,65.25085440874915,50.0,30.0,30.0,45.1958988380041
Balgowlah Heights,SAL10155,217503.99957219252,63.499658236500345,5371.441903310523,1.46958304853041,96.03554340396444,9432.672590567328,10000.0,85.5297541275686,69.89949748743719,1333,43,3.3,2105.950825513719,3546,4878,1320,0.8444803508569451,4687,52.836637047163364,47.163362952836636,27,47.163362952836636,50.0,30.0,30.0,45.13875598086125
St Huberts Island,SAL13653,22482.22656370544,3.9644565960355433,3359.7328732897613,13.94395078605605,28.22966507177033,4104.57963089542,8428.57142857143,84.9815157116451,22.632423756019264,753,58,2.3,1996.30314232902,1080,2800,560,0.8581060373889059,1605,53.477101845522895,46.522898154477105,12,46.522898154477105,50.0,30.0,30.0,45.11578947368422
Castle Cove,SAL10844,101566.67233127414,62.67942583732058,5293.893778961932,4.212235133287763,92.89131920710868,9179.767600820232,10000.0,80.64068635820387,66.9859514687101,1219,46,2.9,1128.1372716407718,2643,4000,1000,0.7572411181927179,3439,52.10116199589884,47.89883800410116,24,47.89883800410116,50.0,30.0,30.0,44.93732057416268
Kangaroo Point (NSW),SAL12068,91582.06573791636,64.18318523581682,5313.387381978358,4.801777170198221,83.25358851674642,9251.537935748462,10000.0,86.3328313253012,54.81927710843374,1245,46,3.1,2266.5662650602408,602,4077,715,0.7556997219647822,4111,51.74231032125769,48.25768967874231,24,48.25768967874231,50.0,30.0,30.0,44.89118250170882
Northbridge (NSW),SAL13032,121086.9704094517,67.60082023239919,5400.909264571951,3.4603554340396414,97.88106630211894,9528.366370471633,10000.0,86.90022359884169,72.22368075610397,1375,44,2.9,2380.044719768337,6493,4649,740,0.7802517482517483,3874,52.358168147641834,47.641831852358166,26,47.641831852358166,50.0,30.0,30.0,44.8362952836637
Duffys Forest,SAL11304,163723.56040411274,58.98838004101162,5288.282192000254,2.230006835270004,75.66643882433355,9193.43814080656,10000.0,50.33878740657374,48.07017543859649,1223,43,3.2,110.16362219721236,509,6134,625,1.157431284986477,4250,54.03280929596719,45.96719070403281,27,45.96719070403281,50.0,30.0,30.0,44.74743677375257
Pearl Beach,SAL13182,8007.167514080967,25.563909774436087,3606.810271781905,44.04477101845522,77.3069036226931,6141.490088858511,6928.571428571429,60.1887792979107,49.21465968586388,872,64,2.0,405.663378937321,510,2167,488,0.5734827099505999,1761,31.292549555707453,68.70745044429255,6,68.70745044429255,50.0,30.0,30.0,44.732535885167465
Seaforth (NSW),SAL13524,138332.13347338708,62.95283663704716,5330.940317996976,2.8537252221462808,90.22556390977444,9302.802460697198,10000.0,86.879404099231,63.25446644133269,1263,42,3.1,2375.8808198461984,7384,4333,875,0.7917047323223095,4184,53.485987696514016,46.514012303485984,28,46.514012303485984,50.0,30.0,30.0,44.73205741626794
Riverview (NSW),SAL13385,83117.70619810982,71.90704032809296,5425.944313363274,5.528024606971968,99.52153110047848,9610.389610389611,10000.0,86.47313944165026,75.63676633444075,1417,42,3.2,2294.6278883300533,3148,4333,1000,0.7056620161771892,4731,51.94805194805195,48.05194805194805,28,48.05194805194805,50.0,30.0,30.0,44.504784688995215
Willoughby East,SAL14321,158057.32152606887,55.43403964456596,5226.803291477251,2.306903622693099,96.17224880382776,8947.368421052632,10000.0,91.60727013542407,70.10923535253227,1155,42,3.2,3321.454027084818,1864,4219,873,0.842957042957043,4536,55.26315789473684,44.73684210526316,28,44.73684210526316,50.0,30.0,30.0,44.485987696514016
Dover Heights,SAL11286,79995.998964215,71.9753930280246,5420.371413070838,5.775803144224199,96.51401230348598,9589.883800410116,10000.0,96.3471283783784,70.68819031435854,1404,41,3.0,4269.425675675676,4044,4333,798,0.7121959237343852,3877,52.05058099794942,47.94941900205058,29,47.94941900205058,50.0,30.0,30.0,44.43472317156528
Northwood (NSW),SAL13034,50543.53918987057,77.85372522214628,5463.055264589364,9.808612440191396,99.93164730006836,9733.424470266576,10000.0,86.98952879581152,77.08333333333334,1526,46,3.1,2397.905759162304,916,4200,1200,0.6351446718419195,5012,49.33287764866712,50.66712235133288,24,50.66712235133288,50.0,30.0,30.0,44.371701982228295
Hunters Hill,SAL11961,62925.08125935821,67.94258373205741,5312.07256386673,7.44190020505809,88.5850991114149,9241.285030758714,10000.0,87.41016603794367,61.09979633401223,1239,46,2.8,2482.0332075887327,9014,4333,530,0.8070404172099087,3413,51.793574846206425,48.206425153793575,24,48.206425153793575,50.0,30.0,30.0,44.3529049897471
Roseville Chase,SAL13427,108916.8010032328,61.03896103896104,5276.844056807342,3.84483937115516,97.19753930280244,9118.250170881747,10000.0,81.39829167984814,71.58234660925726,1197,45,3.1,1279.65833596963,1618,4000,925,0.771158665895508,4026,54.40874914559125,45.59125085440875,25,45.59125085440875,50.0,30.0,30.0,44.34928229665072
Lilli Pilli (Sutherland Shire - NSW),SAL12331,110521.30566105936,59.6719070403281,5260.149359657944,3.759398496240607,79.97265892002734,9077.238550922762,10000.0,86.57331136738055,51.51133501259446,1186,44,3.2,2314.662273476112,1405,4000,900,0.778311064988974,3625,54.61380724538619,45.38619275461381,26,45.38619275461381,50.0,30.0,30.0,44.32535885167464
Dolans Bay,SAL11268,95928.89281831351,62.747778537252216,5286.908153069453,4.511278195488714,79.35748462064251,9166.097060833905,10000.0,88.47859622059391,50.93833780160858,1215,41,3.2,2695.7192441187817,699,4000,800,0.7597340930674265,3542,54.169514695830486,45.830485304169514,29,45.830485304169514,50.0,30.0,30.0,44.26384142173616
North Balgowlah,SAL12991,87749.77453503684,64.93506493506493,5323.466328678874,5.066643882433354,90.08885850991112,9275.46138072454,10000.0,92.00837939026565,62.9812438302073,1254,39,3.3,3401.675878053129,3816,4005,825,0.7370261317629738,4212,53.622693096377304,46.377306903622696,30,46.377306903622696,50.0,30.0,30.0,44.26213260423787
East Lindfield,SAL11360,130605.8059272634,54.27204374572796,5189.415925189209,2.9733424470266527,98.90635680109364,8824.333561175667,10000.0,82.95966530787385,74.15730337078652,1132,43,3.1,1591.9330615747697,3710,4000,990,0.8154389779831477,3457,55.87833219412167,44.12166780587833,27,44.12166780587833,50.0,30.0,30.0,44.22966507177034
Balmain East,SAL10166,44259.863500145824,72.86397812713602,5313.301316835688,11.004784688995215,97.4025974025974,9767.6008202324,9357.14285714286,96.76384839650146,71.73414820473644,1550,46,2.2,5539.35860058309,1900,4333,617,0.6451116625310174,3020,49.161995898838,50.838004101162,24,50.838004101162,50.0,30.0,30.0,44.16664388243336
Vaucluse,SAL14089,66144.86064629654,73.34244702665755,5414.338883593471,7.18557758031443,93.09637730690362,9576.213260423789,10000.0,90.3066151617576,67.07490237841675,1393,43,2.7,3061.323032351521,9510,4200,700,0.6957866254348667,3418,52.11893369788106,47.88106630211894,27,47.88106630211894,50.0,30.0,30.0,44.1390977443609
Tennyson Point,SAL13805,104387.01214402812,56.185919343814085,5200.08574508324,3.981544771018463,83.6637047163363,8872.180451127819,10000.0,88.88332219995547,55.11049723756906,1142,42,3.1,2776.6644399910933,1247,4000,700,0.8082985315910008,3232,55.6390977443609,44.3609022556391,28,44.3609022556391,50.0,30.0,30.0,44.07587149692412
Cheltenham (NSW),SAL10895,60734.052890625855,63.77306903622693,5236.080718451571,7.6213260423786835,97.9494190020506,8981.544771018453,10000.0,81.54974296945872,72.3512336719884,1159,46,3.1,1309.9485938917448,2166,3612,695,0.7191876285922878,3573,53.09227614490773,46.90772385509227,24,46.90772385509227,50.0,30.0,30.0,44.05727956254272
Burraneer,SAL10702,78953.28242199196,63.84142173615858,5282.260617542424,5.690362269309631,77.85372522214628,9152.426520847572,10000.0,87.84362481005664,49.685534591194966,1209,43,3.0,2568.7249620113275,3719,3987,660,0.7610230960106891,3490,54.23786739576214,45.76213260423786,27,45.76213260423786,50.0,30.0,30.0,44.014354066985646
North Curl Curl,SAL12998,110452.21661292564,53.24675324675325,5153.052662279736,3.6654135338345952,85.37252221462748,8711.551606288449,10000.0,93.16949152542372,57.4304068522484,1110,40,3.2,3633.898305084746,4288,4000,700,0.8316008316008316,3611,56.44224196855776,43.55775803144224,30,43.55775803144224,50.0,30.0,30.0,43.97846889952153
Greenhills Beach,SAL11770,60513.77402174213,68.42105263157895,5320.496754898625,7.79220779220779,78.81066302118934,9514.695830485303,9714.285714285716,92.48918850165352,50.43227665706051,1373,37,3.7,3497.8377003307046,1375,4000,1625,0.6723065717967392,4704,52.42652084757348,47.57347915242652,30,47.57347915242652,50.0,30.0,30.0,43.95625427204375
Darling Point,SAL11212,22472.919788768668,80.041011619959,5215.08450641552,22.206083390293912,95.01025290498974,9979.494190020509,8714.285714285716,94.41163310961969,68.70283866331297,1799,49,1.9,5931.394481730053,3977,3900,825,0.500277932184547,3219,42.10252904989747,57.89747095010253,21,57.89747095010253,50.0,30.0,30.0,43.93827751196172
Middle Cove,SAL12613,60412.03347715705,73.2740943267259,5394.138026740272,7.928913192071079,98.5645933014354,9507.860560492138,10000.0,81.40320401466899,73.5330836454432,1369,45,3.0,1280.6408029337963,1327,4000,930,0.6742709445412148,4446,52.460697197539304,47.539302802460696,25,47.539302802460696,50.0,30.0,30.0,43.922077922077925
Queens Park (NSW),SAL13307,53487.39629333753,77.3069036226931,5461.344674161828,9.210526315789464,97.74436090225564,9726.58920027341,10000.0,93.63070539419088,71.98093220338984,1515,40,2.6,3726.141078838174,3143,4333,682,0.6600152322924601,3441,51.36705399863295,48.63294600136705,30,48.63294600136705,50.0,30.0,30.0,43.88448393711552
Chatswood West,SAL10892,132170.86681666717,48.25700615174299,5059.623647346149,2.828092959671892,92.7546138072454,8397.129186602871,10000.0,84.3900481540931,66.95371367061357,1057,42,3.0,1878.00963081862,1521,4000,750,0.8732988865439197,3121,58.014354066985646,41.985645933014354,28,41.985645933014354,50.0,30.0,30.0,43.831510594668494
St Ives Chase,SAL13655,215167.3437687388,42.03691045796309,4964.438611697744,1.307245386192761,96.44565960355436,8079.28913192071,10000.0,78.1211616030966,70.66811515480717,1025,42,3.2,943.6348480928976,3283,4223,950,0.9507692307692308,3306,59.60355434039645,40.39644565960355,28,40.39644565960355,50.0,30.0,30.0,43.81784005468216
North Wahroonga,SAL13025,127193.95440630244,45.79630895420369,4999.513566735779,2.9306220095693902,93.6431989063568,8205.741626794259,10000.0,64.65412683729058,67.54530477759472,1039,45,3.1,539.6238051187172,2100,3884,950,0.8626638039535056,3189,58.97129186602871,41.02870813397129,25,41.02870813397129,50.0,30.0,30.0,43.61961722488038
Curl Curl,SAL11168,56850.34434441226,69.17293233082707,5323.842397065069,8.364661654135332,88.38004101161997,9282.2966507177,10000.0,84.26259697515869,60.810810810810814,1260,40,3.0,1852.5193950317373,2364,3775,705,0.6913919413919414,3870,53.588516746411486,46.411483253588514,30,46.411483253588514,50.0,30.0,30.0,43.60936431989064
Bilgola Plateau,SAL10350,56359.57161257476,54.066985645933016,5066.00510246866,7.988721804511286,81.40806561859193,8427.88790157211,10000.0,88.1087487429967,52.76595744680851,1062,46,2.9,2621.749748599339,3650,3315,895,0.7203389830508474,2856,55.86056049213944,44.13943950786056,24,44.13943950786056,50.0,30.0,30.0,43.43014354066985
Clovelly,SAL10937,41088.15989738634,82.77511961722487,5508.284894514276,12.406015037593988,97.47095010252906,9883.8004101162,10000.0,92.68990965771728,71.88311688311688,1633,37,2.6,6218.348390380455,4887,4333,700,0.6123227660276038,3474,50.58099794941901,49.41900205058099,30,49.41900205058099,50.0,30.0,30.0,43.40259740259741
North Manly,SAL13007,60884.90112995938,61.58578263841422,5197.065244777395,7.535885167464116,83.04853041695146,8861.927546138073,10000.0,90.48281207258138,54.52550740537575,1141,40,3.1,3096.562414516276,3396,3600,675,0.7281062495786422,3169,55.69036226930964,44.30963773069036,30,44.30963773069036,50.0,30.0,30.0,43.35475051264525
