Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Volunteer_Pct,P_Tot_Volunteer,P_Tot_Tot
Forest Reefs,SAL11550,7914.793638035391,80.17771701982228,4442.292891319207,55.12645249487354,44.15584415584416,6425.153793574846,10000.0,10.0,29.537366548042705,891,43,2.9,8.127300464936072,537,2174,325,0.5630665630665631,2343,25.118483412322274,106,422
Birchgrove,SAL10373,28772.952134222323,86.05604921394395,5465.0908674352,17.99384825700615,99.17976760082024,9914.55912508544,9785.714285714286,96.93752133834072,74.5958429561201,1661,46,2.4,5510.413110276545,3228,4000,700,0.5557356550734034,3603,25.037537537537535,667,2664
Braidwood,SAL10544,4773.349990778392,69.44634313055366,3715.023581681477,76.82843472317157,59.26179084073821,4521.531100478468,9357.14285714286,10.0,37.82383419689119,776,50,2.2,7.331118937601523,1720,1700,345,0.5055511498810468,1412,24.98265093684941,360,1441
Cheltenham (NSW),SAL10895,60734.052890625855,63.77306903622693,5236.080718451571,7.6213260423786835,97.9494190020506,8981.544771018453,10000.0,81.54974296945872,72.3512336719884,1159,46,3.1,1309.9485938917448,2166,3612,695,0.7191876285922878,3573,24.930747922437675,450,1805
Invergowrie,SAL11992,5311.591960935143,94.46343130553656,4271.438482570062,79.4172932330827,79.56254272043746,5820.232399179768,10000.0,10.0,51.11111111111111,849,43,2.6,19.00617341577321,794,1647,350,0.447675998912748,1906,24.88408037094281,161,647
Candelo,SAL10787,3354.157121038564,55.639097744360896,3122.3236500341764,92.08817498291182,43.609022556390975,2204.3745727956248,9785.714285714286,10.0,29.33333333333333,638,46,2.4,8.053416868604373,780,1200,250,0.4340487099107789,1256,24.8062015503876,160,645
Nimbin,SAL12974,2813.277322015583,13.397129186602871,2331.106971975393,81.86090225563909,44.63431305536569,280.2460697197539,8928.57142857143,10.0,29.637305699481864,479,50,2.0,22.050308182900928,1607,1199,300,0.5776457363096195,798,24.763292061179897,340,1373
Paterson (NSW),SAL13170,6243.310246684174,79.08407382091592,4168.2737525632265,65.76384142173616,26.17908407382092,5529.733424470267,10000.0,10.0,21.62162162162162,837,41,2.7,23.194344445679327,960,2000,300,0.5514199062586159,1907,24.736842105263158,188,760
Dunedoo,SAL11319,2846.331230148511,39.23444976076555,2719.637388926863,94.54887218045111,7.997265892002734,1373.8892686261108,9214.285714285716,10.0,14.315789473684209,585,51,2.2,0.7337541840543109,1097,1083,200,0.4272189349112426,985,24.675324675324674,228,924
Finley,SAL11523,2997.489709227249,54.20369104579631,2959.0837320574165,97.71872863978126,16.67805878332194,2163.362952836637,9214.285714285716,10.0,17.91421362489487,636,51,2.2,4.581071720736375,2455,953,175,0.3457910014513788,1066,24.64891041162228,509,2065
Macmasters Beach,SAL12441,13400.916226979083,72.5222146274778,4756.317672891335,34.492481203007515,74.02597402597402,7419.685577580314,10000.0,54.694716062984895,46.23287671232877,958,49,2.6,240.8414818895469,1399,2468,500,0.5945077886622773,2190,24.486301369863014,286,1168
Nunderi,SAL13053,7125.161967731472,42.925495557074505,3779.331040854039,52.04203691045795,48.05194805194805,4190.020505809979,10000.0,52.7286979697421,31.527093596059117,757,50,2.7,181.86093909226307,696,1950,460,0.5944517833553501,1803,24.455611390284755,146,597
Black Head,SAL10383,3357.772675851505,3.896103896103896,2179.235778936694,63.90123034859877,42.78879015721121,1537.9357484620643,6785.714285714286,57.26563948226417,28.95204262877442,598,65,2.0,317.969184467925,972,1661,375,0.6409827630563416,1053,24.34881087202718,215,883
Repton,SAL13366,5206.751436977166,37.8673957621326,3399.2648667122357,64.28571428571428,67.053998632946,2925.4955570745046,10000.0,10.0,42.07792207792208,685,49,2.5,75.2770692729612,667,1729,405,0.5824817518248175,1480,24.27536231884058,134,552
Mossy Point,SAL12752,5117.097969589568,81.47641831852359,3968.566554501306,76.55502392344498,64.31989063568011,5457.963089542037,9214.285714285716,55.40154584374911,40.51282051282051,831,54,2.4,262.04637531247306,608,1733,340,0.4812552068869758,1759,24.214417744916823,131,541
Balgowlah Heights,SAL10155,217503.99957219252,63.499658236500345,5371.441903310523,1.46958304853041,96.03554340396444,9432.672590567328,10000.0,85.5297541275686,69.89949748743719,1333,43,3.3,2105.950825513719,3546,4878,1320,0.8444803508569451,4687,24.21091719272187,652,2693
Wallagoot,SAL14121,5211.616751245139,66.57552973342446,3783.605263157895,71.59945317840055,49.48735475051264,4224.196855775803,10000.0,10.0,32.15339233038348,758,48,2.5,15.945555410137311,597,1733,370,0.527603003856302,1583,24.166666666666668,116,480
Lilli Pilli (Eurobodalla - NSW),SAL12330,4112.5079856194,40.66985645933015,3177.50975856764,76.26452494873547,61.03896103896104,3598.76965140123,8285.714285714286,54.25735604674081,38.961038961038966,725,59,2.3,227.7206814022244,647,1566,390,0.4984615384615385,1355,24.15026833631485,135,559
